[00:07] よろしくお願いします
[30:04] 聞いていただけるかなというふうなところですね
[30:08] そもそも報告すらできてないっていうパターンが割と一番まずくて
[30:14] 補助金の事業化報告っていうんですけど
[30:16] それができてないとかなり補助金減点されるので
[30:21] そこだけちょっとご注意とご確認いただきたいなというところではあります
[30:26] ちょっとまだ未確認ではありましたので
[30:30] そうですね 多分事務局から報告してくださいって来てると思うんで
[30:34] やられてると思うんですけども
[30:37] まずその報告の内容も含めてですね
[30:40] もう今日達成できてるっていうふうに報告してるのか
[30:43] できてないっていうふうな感じで報告してるんですか
[30:45] ここもちょっとあくまでも自己申告なので
[30:49] 正直にできてないって報告しちゃってたらもったいないなっていう感じではあるんですけれども
[30:54] わかりました
[30:57] はい そんな感じです
[31:01] 一旦ちょっとご提案書のほうも送らせていただこうと思うんですけれども
[31:05] 今後の流れとしましては
[31:08] 具体的にどういった形で支援させていただくかみたいなところですね
[31:13] またちょっと協議させていただいて決めてですね
[31:15] 例えば月10時間で定例ミーティング2回やりましょうとか
[31:22] 月20時間で定例ミーティング2回
[31:24] プラスある程度こっち側では何かシステムちょっとずつ作っていきますよみたいな感じであるのかとか
[31:30] ちょっとそこを決めさせていただいた上で
[31:32] 正確なお見積もりちょっとご契約書を出させていただきまして
[31:36] そちらの内容に同意いただけましたら契約締結させていただいて
[31:40] コンサルティングを開始させていただければなというふうに思っております
[31:44] ちょっとオンシャンのほうでもまだどのくらいのウェイトでお願いしようかとか
[31:49] そもそもこのプロジェクトにいくらぐらいかけようかとかっていうところを
[31:53] 今相談されているところだとは思うんですけれども
[31:56] イメージとしていつぐらいからこういった動きは
[32:00] 具体的に動いていけたらなとかって決まってたりしますか
[32:03] 少し方向性がまだちょっと明確ではないような気がしておりますので
[32:11] どちらかというと情報収集のフェーズに近いのかなっていうところで
[32:19] ただこうやってお話聞いていくと
[32:21] これによって少し情報の精度が上がって
[32:30] いろいろ方向性が話し合いの中で見えてくるかもしれませんので
[32:35] ちょっとお時間がかかるかもしれないなと思ってるんですけれども
[32:39] いただいた内容をですね
[32:41] 前回ご席に来ていた浜島のほうとも
[32:45] ちょっと来週にはなってしまうんですが
[32:48] 共有させていただいて
[32:50] またちょっと状況をフィードバックさせていただきたいと思います
[32:54] お待ちいたしました
[32:56] ありがとうございます
[32:57] はい
[32:57] また弊社で前向きに聞いていただいて
[33:00] 検討いただけるようでしたら
[33:01] 具体的に何時間にしましょうかみたいなお話でしたりとか
[33:05] 週何回の打ち合わせにしましょうかっていうような
[33:07] お話しさせていただいた後にですね
[33:10] 正式なお見積もりもお出しすることができるかなとは思いますので
[33:14] 一旦ご提案者のほうで価格感といいますか
[33:17] 掴んでいただければなと思いますので
[33:18] そういった形でよろしくお願いいたします
[33:21] お願いします
[33:24] 他に今日何かお聞きしたかったことでしたりとか
[33:28] ご相談したかったことってございますか
[33:30] そういったことはありますでしょうか
[33:31] とりあえず大丈夫そうです
[33:33] ありがとうございます
[33:35] この後ですね資料の方も送らせていただきますので
[33:38] ご検討いただければなと思います
[33:41] ありがとうございます
[33:43] 本日はお時間いただきありがとうございました
[33:46] 続きよろしくお願いいたします
[33:50] 失礼いたします
[33:52] 失礼いたします
[34:02] めっちゃわかりますそれ
