[00:11] ウルさん来ますか
[40:30] 8月3日に納品書が東京店に送ります。自動でメールが来ます。
[40:39] 商品も8月3日送るんで、佐川急便の問い合わせ番号も8月3日に東京店に送ります。
[40:48] 一般的にお客さんの方が多いですね。
[40:49] これは注文完了メールの中に追跡番号が入ってる。Amazonとかそうじゃないですか。
[40:55] はい。
[40:56] みたいな感じが一般的かなと思うんですけど、納品書ってどうなのかなと思って、どのタイミングで送る。
[41:03] いいんですか?発送した時点でメールで届いちゃっていいんですか?
[41:06] 納品書って、一応書類の意味としては、納品しましたよっていう書類じゃないですか。
[41:11] 確かに。そうですね。
[41:12] 物が届く前に納品書ダウンロードできちゃっていいのかなっていうのはちょっと気になるので、Amazonとかどうなっていいかなと思って。
[41:18] 確かにそうですね。
[41:19] そうですね。
[41:22] 月末に納品書まとめて送るとか、請求書と一緒に納品書送るとかでもいいのかなとか思ったり。
[41:28] 僕の考え方が、商品と一緒に送って、届いた人が商品と納品数が合ってるかどうか。
[41:41] はいはいはい。
[41:42] っていう意味合いだと思ってます。
[41:43] 事前に送ってます?そしたら。
[41:45] 事前に送ってます。お客様にヒアリングして事前に送っても問題ないです。
[41:49] 問題なければ、その方が効率がいいのかなって思ってました。
[41:55] 事前に送っちゃうか、一応技術的にできなくはないのは、到着予定日みたいなのはある程度わかるじゃないですか。
[42:03] はい。
[42:03] その日に。でもその日に送るだとタイミング的に事前に送った方がいいですよね。
[42:11] うーん。
[42:12] メールである以上、何時何分に受け取るっていうのはわかんないんで、ピッタリに送るは絶対できないじゃないですか。
[42:18] そうですね。
[42:19] でも、何時何時に受け取るかに関しても、多少は前後するんで、だったらどっちにしろタイミング微妙にずれるんだったら、注文時に送っちゃってもいいのかなって気はしますけど。
[42:28] そうですね。
[42:30] 本日発送しましたっていうメールはしないんですか?
[42:34] 届きます。届きます。
[42:35] そこには入れられないんですか?
[42:38] そのタイミングで納品して送るのも全然いいと思います。
[42:41] それが一般的かもしれないですよね。
[42:43] そうですね。それがいいかもしれないですね。
[42:45] 注文入ったけど在庫がなくて送れなかったとかってありそうですもんね。
[42:49] あります。あります。あります。
[42:50] それなのに納品書送られちゃっててって、ちょっと変ですもんね。発送時がいいと思いますね。納品書は。
[42:55] そうですね。
[42:59] 発送時がいいと思います。
[43:01] はい。そこでお願いします。
[43:02] ごめんなさい。ちょっと私からも1点ご質問を忘れておりまして、佐川の契約の部分、法人契約ですかね、運賃の部分。
[43:11] 法人です。法人です。
[43:12] ありがとうございます。
[43:14] 今のこの送り状の発行システムみたいなのってどういうの使われてますかね。
[43:32] 毎日。
[43:33] 毎日。
[43:34] 今の時間に。
[43:35] はい。
[43:35] 承知しました。
[43:38] そしたら、ご契約されてるっていうところで、そちらの情報も後ほどいただくかもしれないんで、ちょっとそちらをお伝えしておきます。
[43:50] そしたら、火曜日に向けてそんなふうに進めていけたらなと思っておりますので、今日はこちらで以上にさせていただこうと思います。
[43:59] そしたら引き続きよろしくお願いいたします。
[44:02] はい。
[44:02] よろしくお願いします。
[44:04] 古谷さん。
[44:05] はい。
[44:07] 箱舟っていうのは、
[44:09] ああ、ありがとうございます。
[44:10] どうなんですか。
[44:12] 見ていただいて。
[44:12] もういっぱいになったんですか。もう私、ちょっと、なんていうんですかね、引きこもってる甥っ子がいて、その甥っ子に送ったんですけど、貴族にもならなくて、ただパソコン好きな子なので、
[44:27] 今、
[44:27] 貴族行っちゃうからもうだめだよとか言って。
[44:30] 今、ちょうど会員が回ってます。
[44:42] これからAIの時代っていう。
[44:44] そう。もう私、これ見たときに、私があと10年早かったら絶対申し込んでたと思う。
[44:51] ありがとう。あれですか、メルマガとかで見つけていただいた感じですか。
[44:55] いや、ホームページで拝見しました。
[44:57] ありがとうございます。嬉しい。
[44:59] いや、素晴らしい取り組みですよね。なんでこんなに安くできるんですか。
[45:04] 今、1期生なんで、ちょっと人数絞って、ちょっと安めに提供してっていう感じで。
[45:10] また2期生、3期生の募集やると思うんで。
[45:13] そうですね。
[45:17] その時にまた。行かなきゃいけないんですか。
[45:21] いや、オンラインですし、オフラインのイベントも結構やってます。
[45:24] なんかありましたね。
[45:26] コミュニティのメンバーで集まって、いろいろ喋ったり、ご飯食べたり。
[45:30] そうですよね。
[45:32] 甥っ子さんはおいくつぐらい。
[45:34] もうね、いくつになったんだろう。ひろき、たかひろ。
[45:37] まったんだよ。
[45:40] もう、待ってないからな。
[45:41] そうです。
[45:42] おお。
[45:44] これ、僕も行っていいんですか。
[45:46] でも、ゲストとして。
[45:49] ちょっとこのプロジェクトうまくいったら、事例みたいな感じで話してもいいかもしれないですけど。
[45:54] そうですね。
[45:55] とってもいい、本当に。これからの子どもたちにね、子どもたちっていうか、いいなと思って。
[46:03] そうですね。結構、経営者の方もいらっしゃれば、優秀な学生さんとか。
[46:09] いいね。
[46:10] いろんな人が多いですね。
[46:13] 苦手な人でもいいんですか。
[46:15] 苦手な人。苦手な人。あ、ちょっとパソコンまわりが。
[46:19] そうです。そうです。
[46:20] AIのコミュニティなんで、ちょっと基礎的なパソコンの操作とかできた方がいいかもしれないですね。
[46:28] その甥っ子は、自分でパソコン作るぐらい好きなんですよ。
[46:32] じゃあ、合うと思います。
[46:34] じゃあ、合うと思います。
[46:36] うん。なので、じゃあ、もう一度声かけて。
[46:40] 2時か何かの時に。
[46:42] そうですね。優秀なAIエンジニアになっていただいて、そのまま御社のお仕事を。
[46:48] ああ、本当、本当。
[46:50] いいね、できたら。
[46:51] もう、ゲームばっかりやってるみたいで、しょうがないんですよ。
[46:56] 分かりました。ありがとうございます。
[46:58] はい、ありがとうございます。
[46:59] ちょっと、お気になったので。
[47:00] はい。でも、相性良さそうですね。お話、いい加減。
[47:05] ありがとうございます。
[47:06] ありがとうございます。
[47:07] じゃあ、ごめんなさい。長くしちゃって。
[47:10] いえいえ、とんでもないです。
[47:11] そしたら、また来週ですね。引き続きよろしくお願いいたします。
[47:14] はい。ありがとうございます。
[47:16] ありがとうございます。
[47:17] はい。では、失礼いたします。
[47:18] 失礼いたします。
[47:43] はい。ありがとうございました。
