[00:01] います ちょっとシートにですね情報整理してきたので今日そこを一緒に見たいなっていうのと
[00:08] えっとまぁモック モックレベルではあるんですけどもえっとまぁこんな感じで画面を改善したらいいんじゃ
[00:14] ないかみたいなところを作ってきましたのでそこ一緒に見ながらえっとまぁご意見を 伺えればなというふうに
[00:23] 思っております ちょっとこちらのシートも持ち方
[00:28] をとっ
[41:40] メールの見た目良くするは多分一番直近でできるんで
[41:45] それをまずやっていきますっていうところですかね
[41:53] はい
[42:04] 次回までのところ ページ側はもうちょっと保留でもいいかなと思うんで
[42:08] ちたんさん側にいろいろ聞いたりとかしたいんで
[42:11] 勝手にいじっていいのかっていうのと
[42:14] あと今AIあるんで画面とかシステム作るの本当に簡単にできちゃうんですけど
[42:19] 置いておくサーバーどうするかみたいなところをちょっと相談しなきゃいけないなと思って
[42:23] そこってどうします こっちで新しくサーバー立てると
[42:27] そこのサーバーのランニングコストは上がってきちゃうんですけど
[42:30] それが問題なければっていうのと
[42:32] あとドメインどうしますかっていうのもちょっと考えてますけども
[42:34] そういうのもありますね
[42:36] ですよね あんまりその辺り詳しくないんで私も
[42:40] お任せコースで全部やってるもんですから
[42:43] ちょっとこちらからいくつか選択肢提案させていただくっていうのは
[42:46] ちょっとよくドメインとかサーバーとかあるいは
[42:49] ちょっとお任せコースなんでよくわかんない
[42:52] 私は何もいじってないんで
[42:55] うんうんうん
[42:56] 一応あの
[42:58] 私も1LC.comっていうのはドメインを作っているんで
[43:01] それに合わせてもらえればありがたいですけど
[43:05] インフラ構成の提案
[43:08] 新しくサイトを作る前のインフラ構成の提案と
[43:15] 改善版の作成案の提案と
[43:30] そうしたら
[43:30] そうしたら
[43:35] そうしたら吉田さん側は
[43:38] アナリティクスですとな
[43:39] ほとPCどっちの方が多いかっていうのを
[43:41] ちょっと見てきてもらってもいいですか
[43:42] ちなみにどこでどう見れば出てくるんですか
[43:46] Googleアナリティクス
[43:47] 今画面共有とか可能だったら
[43:49] えーとちょっと待って
[43:50] ほかのお勧めでもらっていいですか
[44:01] いや
[44:01] ほかのお勧めでもらっていいですか
[44:03] いや
[44:04] ほかのお勧めでもらっていいですか
[44:04] いや
[44:04] ほかのお勧めでもらっていいですか
[44:04] いや
[44:06] こんな感じかなと思います
[44:07] 今日のところでは
[44:09] ありがとうございます
[44:09] ありがとうございます
[44:26] ちなみになんですけど
[44:27] 概要書のAPIのエンドポイントはなかったですね
[44:32] ないですか
[44:33] じゃあそこのSSHもらうしかないですね
[44:36] それはちょっと吉田さんに言うしかないですね
[44:42] 吉田さんって返事2日に行ったりとかそんな感じですか
[44:47] まあまあもう遅ければすぐ出ますんで私
[44:50] はい
[44:54] まあ遅いケースがありますけど
[44:57] 吉倉さんどんなイメージですか
[44:59] なんかミーティング設定しちゃったらいいんじゃないかなと思って
[45:02] そうですね
[45:03] なんかさっきちょっとメール送ったんですけど
[45:05] ミーティング設定できればそっちで
[45:10] うん
[45:10] なんかエンジニアさんにも参加してもらって
[45:12] ミーティング設定させていただいて
[45:16] なんかあまりツドツドチタンさんに連絡しなくても
[45:19] こっちで動けるようにした方がお互い楽だと思う
[45:22] そういうできたんで
[45:24] でありますね
[45:24] 今冬できてますから
[45:27] あ見えてます
[45:29] これアナリティクス
[45:31] これ23区名古屋大阪っていうのはこれは
[45:35] あーこれあってるのかな
[45:37] ちょっとよくわかんないですよね
[45:39] 見方があんまりよくわかんないんだけど
[45:40] 土地内人のシステムを物件の場所ごとに分けて見れるってことですか
[45:46] あー
[45:47] エリアごとに分けて見れてるんですかね
[45:50] これがちゃんと機能してるかどうかもよくわかってないんだよ私は
[45:57] 分けてみれんのは結構いいなとは思うんですけど
[46:02] どうなんだ
[46:03] わざわざシステム組む必要ない気もしますけどね
[46:06] できてるなら
[46:09] これでどこ見れん
[46:12] 多分エリアごとにPCかスマホが変わるってことはないと思うんで
[46:16] 別にどこの地域でもいいんで
[46:20] えーと
[46:23] これがどれなのかも自分が多分やったんでしょうけど
[46:26] あんまりこう覚えてないんで
[46:28] あんまり見方もよくわかんないもんだから
[46:31] 画面カスタムとかできちゃうんであれなんですけど
[46:35] いろいろ多分イジクティブどっかにあって
[46:40] その家マークの下のグラフみたいなの多分クリックしてる
[46:44] レポート
[46:46] レポート
[46:51] でえー
[46:52] えー
[46:54] 上位ページスクに
[46:57] もっと下の方
[46:58] ユーザー属性とかその辺にある気がしますね
[47:03] 概要とかクリックして飛んでみてもらっていいですか
[47:05] テクノロジーっていうところは多分デバイスな気がしますね
[47:12] はい
[47:12] 概要
[47:18] Web
[47:19] Webはそうなんだけど
[47:22] あよし
[47:23] Windows
[47:23] iOS
[47:24] デスクトップの方が多いですね
[47:27] まあでも
[47:28] 書いてますねデスクトップと
[47:29] モバイルもまあそこそこいますけど
[47:33] デスクトップの方が重いって感じですけど
[47:36] 80%ぐらいはもうデスクトップじゃない
[47:40] ちょっとさっき僕が作ってきた画面結構デスクトップ前提だったんで
[47:45] あのそこはもう一度練り直して
[47:48] デスクトップじゃないスマホ前提だったんでそこは練り直していきます
[47:59] 仕事としてやっぱやられてる方が多い
[48:01] そう思いますよ
[48:04] うんうんうん
[48:05] 共有つってみますね
[48:07] 会社さんか専業投資家みたいな感じの方ってイメージですね多分
[48:14] まあやっぱりこれに何億ぐらいの投資をしようとしてる人なんでそれなりの投資家だと思うんですよ
[48:23] うんうんうんうん
[48:26] なんか高級取りの会社員が片手間に不動産してる人が多いんですけどね
[48:29] 不動産投資とかだとスマホなのかなって思ったんですけど
[48:32] ああそういう人たちは基本区分の何千万単位のやつを買うんですよ
[48:36] うんうんうん多分そういう人たちがさっき見たスマホの40%ぐらいの40件ぐらいの人たちなのかもしれないですね
[48:44] まあそういう人はあんまり相手にしてないんで私も
[48:47] どっちかっていうとちゃんとがっつりした不動産投資家何億10億ぐらいは軽くパッと持ってるよ買えるよっていう人をターゲットにしてるんで
[49:23] 前半のメールの作成してきますっていうのとちょっと次回までに間に合うかであるんですけどテスト配信とかもできたらやっちゃいたいなと思っています
[49:33] あと新しくサイト作るときのインフラを ご提案してきますあのバランニングコストどうなるかそんな感じの話をできればなぁと思って
[49:44] ますアートはちょっとチタンさんとミーティング設定したいんだその打診を送っておきますね
[49:57] はい
[50:00] いいです。ちょっとここは、 細谷と池田の方で連携して進めていこうと思いますので、
[50:06] 引き続きよろしくお願いいたします。
[50:08] 私の方から2点いいですか。
[50:11] これ、前のセントさんの方からずっと言ってたんですけど、
[50:14] 多分、反復しないで、もうそのまま ゴンドラした感じなんで、
[50:18] ゲイナテーブルの物件一覧今見ると、 8万2千件、3千件ぐらいあるんですよ。
[50:24] これを件数減らして、 ランニングコストを落としたいって話をちょっとしたと思うんですけど、
[50:31] もうパンパンになっちゃってるって話ですよね。
[50:33] そうそう。だから多分これ変わってない状況だと思うんで、
[50:38] 前もちょっとお話した通り、 それをCSV化なんかに一旦データ化して、
[50:42] この物件を減らしてもらって、
[50:45] この月々多分、今2万ちょっと払ってるはずだから、
[50:49] それを2万、物件数を2万ぐらい落としてもらって、
[50:52] ランニングコストを落としたいんで。
[50:56] OKです。そこってもうやっちゃっていい?
[50:58] やってください。これもうずっと何もないから。
[51:02] で、古いやつは落として、 古いやつは消せばいいですよね。
[51:05] そうですね。だからここ半年なのか1年なのか、
[51:09] とりあえず1年前のやつを一貫消して、 どのぐらい減るのかを試してもらって、
[51:14] そこをちょっとうまくやってもらいたいなと。
[51:18] あともう一点が、このチタンさんのシステムには、
[51:22] 建物名が入ってるんですけど、
[51:25] このAirTableの方のデータとか、
[51:31] 今、クロードコードで取ってるデータの中に、
[51:33] 建物名が入ってないんですよ。
[51:37] それをちょっと今、チタンさんにこの間、
[51:39] 火曜日、電話だけで聞いたんで、
[51:43] そのケースが結構なったんですけど。
[51:45] AirTableには建物名が入ってるけど、
[51:48] 今、岩下さんが動かされてるクロードの方が取れてないんですか?
[51:52] システムには入ってるんです。
[51:54] 全部が全部見れてないですよ。
[51:56] システムっていうのは何?
[51:57] さっき開いたチタンのホームページ。
[52:00] 土地大臣ですか?
[52:01] 土地大臣の方。
[52:02] 土地大臣には入ってる。
[52:05] ちょっとこれ、池田さん、
[52:06] 土地大臣、土地大秘の家、
[52:08] APIの仕様書の方で建物名取れるかどうかを見ておく。
[52:12] ちょっとそれは、一応投げてやるんですけど、
[52:14] まだ回答が来てないんで。
[52:16] いいえです。
[52:17] ドキュメント見れば分かりますよね。
[52:23] これ、取れるようにお願いした記憶あるんだけど。
[52:26] 建物名取れるんだったら、
[52:28] AirTable側にも建物名入るようにしたい。
[52:31] 入ってるのは入ってるのは。
[52:33] じゃあ、多分取れてますよ。
[52:35] 入ってるのもあるし、入ってないところもあるもんだから。
[52:38] 入ってないやつがあるのは、
[52:40] 多分、完全に、あれは元データに建物名がないってこと?
[52:45] いや、だから、その、
[52:46] 土地大臣には入ってるんで。
[52:48] じゃあ、なんかバグなのか何なのかっていう。
[52:51] それやっぱ取れないと、
[52:54] AirTableとか、
[52:57] プロトコードのデータには、
[53:00] 今のところ、所在が同じデータが入ってきて、
[53:03] 重複してる感じになってるもん。
[53:06] それは極力のしたいですよね。
[53:08] 建物名が取れない不具合がありそう。
[53:11] そうですね。
[53:12] そういう2点、ちょっとお願いしたいなと。
[53:15] 最近このCRMのAirTable自体、
[53:17] ほとんどいじってないんで、私自体も。
[53:19] うんうんうん。
[53:22] あとは、やっぱ、
[53:23] ちょっと、いきなりやっちゃうと、いろいろ、
[53:27] 大変なので、
[53:29] 一番効果のありそうな、メールの改善とかでやったりとか。
[53:31] そうですね。
[53:32] できるとこから、まずスタートしてもらって。
[53:34] あるんですけど、
[53:35] なんか最終的には、そもそもAirTable使うメリットみたいなのが、
[53:38] あんまりない気がする。
[53:39] あんまりなさそうな感じです。
[53:41] 単純に自前でデータベース用意して、
[53:43] サーバー借りてえとかってやっちゃった方が、
[53:45] LANコスも最終的に安いと思うので。
[53:47] うん。
[53:48] せっかく、めちゃ金かけて、これ作ったんですけど。
[53:52] まあ、仕組みとかはそのまま参考にさせてもらって。
[53:55] まあ、それより、今、スプレッドシートで、
[53:57] クロードコードで、私、バーンやってるんですけど、
[53:59] そっちの方がめちゃくちゃ早いんですよね。
[54:01] いやー、まあ、
[54:02] いや、そういう感じで、
[54:06] やってく方が早いと思うので。
[54:09] ちょっとすみません。
[54:10] 今、一応調べたんですけど、
[54:12] 建物名は取得できてないみたいですね。
[54:15] ない?
[54:15] APIの、はい。
[54:18] ところから、取得できる、
[54:21] も、
[54:21] 物の中には、
[54:24] エアテーブルに入ってる情報は、でも入ってるんですか?
[54:28] 建物名。
[54:29] エアテーブルに入ってますよね。
[54:30] 物件一覧見ると。
[54:31] APIで建物名取れないのに、
[54:33] どうやってエアテーブルに建物名入ってるんだって、
[54:35] ちょっと疑問に思ったんですけど。
[54:37] まあ、単純にここの、あの、
[54:41] 引き継ぎの資料の中に、
[54:43] 書かれてないだけなのか。
[54:46] 一応、取れてるのと取れてないのがやっぱありますよね。
[54:48] エアテーブルの物件数の物件一覧を、
[54:51] チェックしたらもう、
[54:52] 建物名自体はあるっちゃあるんで。
[54:54] だから、エアテーブル側のシステムをリバースするしかないですね。
[54:57] なんかこれ、どうやって取ってるの?っていう。
[55:07] 物件一覧のとこ見てもらえれば、
[55:09] 取れてるのと取れてないのは、
[55:10] 最近はほとんど取れてない。
[55:12] 昨日の物件見たら、
[55:13] 物件も取れてない。
[55:27] エリア、建物名、価格、
[55:30] あと築年数、利回り、
[55:32] このぐらいは最低取って、
[55:33] やっぱお客さんのメール送ってるもんですから。
[55:37] 建物名分かってしまうと、
[55:39] 本当はお客さんに特定してしまうんで、
[55:42] 直で取って引きされちゃう可能性あるってこと?
[55:45] 可能性もあるし、
[55:46] ちょっと、リスクやりすけなんで、
[55:48] まあ、最悪取れなくてもいいんですけどね。
[55:51] 送んないっていうのも、こっちから、
[55:53] いろいろさじ加減できるじゃないですか。
[55:55] うん。
[55:57] この物件が何なのか。
[55:59] 見るときにこれ一回送った物件なのか、
[56:01] 昔からある物件なのかっていうのは、
[56:02] すぐ把握したいんで。
[56:05] データとしては取りたい情報。
[56:07] お客さんに送るかどうかは別として。
[56:11] OKです。
[56:12] まあ、ちょっとそこは調査していきます。
[56:16] そして内部で、
[56:17] そのちょうどタスクはリフローと思うんで、
[56:19] 引き続きよろしくお願いいたします。
[56:21] はい。ちょっと1時間ですね。
[56:22] じゃあよろしくお願いします。
[56:22] また引き続き。
[56:24] はい。ありがとうございました。
[56:24] はい。ありがとうございました。
[56:25] 失礼します。
[56:59] はい。ありがとうございました。
[58:47] いや、一生1ヶ月ごめん。
[58:49] もうろい、マジで。
[58:52] いや、マジで。
[58:54] マジで、ジムやわ。
[58:57] チャットワークか。
[59:15] チャットワーク。
[60:27] 教習ありき
[60:28] ないねんな
[60:38] これか
[61:19] もう一個
[61:36] お疲れ様です
[61:38] お疲れ
[61:40] あの動物一時からですけど大丈夫 そうでしたっていう連絡なんですけど
[61:45] 見れてないけど大丈夫やろ
[61:48] でも一応古さん説明する感じになり そうですか
[61:51] あー確かに
[61:53] 人数増えるし取りたいしで
[61:58] ちょっとmockと提案書が編集できる ようにして送っておいてもらえる
[62:02] と嬉しいかも
[62:03] 了解です
[62:04] 提案書は編集権限で渡してるんで
[62:08] mockは落としたらいいかな
[62:11] なんかローカルに落としてjikとか で渡してもらえたらいいかな
[62:14] 了解です
[62:17] じゃあそれで共有します
[62:19] お話しします
[62:20] はい
[62:20] よろしくお願いします
[62:21] 吉国さんと一緒にylcの割り振って ちょっと書いておきます
[62:26] 誰か何やるか決めて進めてほしいん だけど多分そもそも吉国さんが
[62:31] パスワードとか教えてくれてない から誰か何も見れないじゃ今ミーティング
[62:36] したほうが良さそうかな
[62:40] その方が吉国さん的にも渡しやすい かったりしますかね
[62:45] ただ古さんのリソースがっていう 感じですけど
[62:48] しっかり二人で一番ありがたく あるけど一応
[62:52] じゃあ古さんの方から二人で話せ そうやったらみたいな感じで言うと
[62:56] もらってもいいですか
[62:58] お願いします
[63:15] 動物動物
[64:00] ミキちゃんの顔忘れるくらい 当てない
[70:00] エリートかマイルドヤンキーかも
[70:01] そうなんですよ
[70:02] 僕マイルドヤンキーだったらトップなんですよ
[70:06] 神戸に帰ったらトップなんですよ
[70:09] それは相対的な幸福を考えるときにっていうのはあるかもしれないが
[70:17] ただ神戸はわからんが地方自体がもう衰退していくっていうのはあるけどな
[70:26] 一応近くに大阪があるんで
[70:30] 僕は福岡とかだったら帰らないです
[70:33] なるほど
[70:34] ただ大阪はわからないっていいよな
[70:37] そうなんですよね
[70:39] 神戸なんで最悪どうなったとしても別に大阪があるしなっていう
[70:46] なるほどね
[70:49] そんなに稼がなきゃ
[70:51] 東京
[70:52] 東京エグゼ
[70:55] 東京エグゼから動けないですもん
[70:55] まじ?
[70:57] 東京マジエグゼですよ
[70:58] 東京やばいです
[70:59] だって大阪で僕今の収入だったら結構なとこ住めますよ
[71:02] あーまあまあそうねそれはそうか
[71:05] 結構に通じるんですけど東京に居る女やばいです
[71:09] 価値観ぶち壊れてます
[71:10] そっち出会いがいる出会いがいる
[71:12] それは太田が会う人の
[71:14] いやいやこれ僕が会う人もそうかもしれないですけど
[71:18] 東京の女マジで価値観終わってます
[71:22] いやそれ出会いが良くないって話してる
[71:26] 勝ち組なんですよ
[71:26] いやでも俺だって他に長いこと付き合ってたやつは全然
[71:31] いやこれねマッチングアプリ本当に良くない
[71:34] いやマッチングアプリで居ないよ
[71:38] 違うんですよマッチングアプリで居ないってやつなんですけど
[71:40] マッチングアプリをやってることのある女全員終わってる
[71:44] あーだからみんなあれだよね
[71:47] こうハッタリのプロフィールにこう洗脳されてるよね
[71:51] そうなんですよ
[71:53] だからなんかもう面倒くせえってなったら
[71:56] いやもちろんリアの出会いとかもあって
[72:00] それはそれ大事まあそう別にやりようはいくらでもあるんですけど
[72:06] でもなんかちょっとちょっとしんどいなっていうか
[72:10] なるほどねなるほど
[72:14] それはまあちょっとなんとも言えないところであるな
[72:17] まあこれは正直出会いの経路を確保すればいいって話なんですけど
[72:21] うん
[72:22] あの
[72:23] いやなんかまあそのなんだろう周りの
[72:26] コミュニティの中での相対的な自分の立ち位置みたいなところを考えたら
[72:31] まあまあ地元の方が幸福度は高いかも
[72:39] そうなんですよね
[72:42] いやそうねまだ東京で申し上がるっていう
[72:45] 申し上がらない東京で
[72:47] いやいやその単価箱舟だから
[72:50] いやなんか
[72:52] いやだからあれだね
[72:53] いや本当このまあ1年は分かんないけど2、3年では
[72:58] まあ要するにもうみんなこうあがれるぐらいには
[73:01] 持っていこうかなと思ってたから
[73:06] いやー本当
[73:08] いやー
[73:09] そこだよね
[73:10] そうなんですよね
[73:11] いや本当そこなんですよね
[73:12] いやもう本当この
[73:15] この今しかウィンドウが開いてないのもう
[73:18] それは本当
[73:19] この世界でなんだろう
[73:21] 生き残るためのディストピアの解決を
[73:23] 生き残るためのウィンドウが
[73:24] 多分それが終わってからは多分俺そっちの世界に
[73:28] 行くのがまあ今正しい順序じゃないかなっていうのは
[73:33] まあ個人的には
[73:35] まあゆっくり行ったほうが面白いことになるから
[73:37] やりたいなと思ってたからね
[73:38] その可能性は高いですよね
[73:41] うんうんうん
[73:42] 高いんですけど
[73:43] いやー俺
[73:44] あー東京で住める人いない
[73:47] 無理だわ
[73:50] まあ2年ほどの人間じゃないかなと思うんだよね
[73:54] まあでもちょっと考えてるのは
[73:57] やっぱ神戸周り街で雑魚いいんですよ
[74:01] 東京だったら多分2、3年なんですけど地方は2、3年じゃないんですよね
[74:06] あいやいやでもあれよそのウェルの世界の話だからね
[74:10] まあまあそうですね
[74:11] ウェルの世界はもう初めから世界大会だから
[74:15] 確かに
[74:15] この世界大会で勝ち切ることで
[74:19] まあコンプレインのウェルって要するに実店舗とか
[74:23] ちょっと売ればいいですよ
[74:23] うんうんうん
[74:25] あの勝ち切ったところ
