[00:33] でもなんか
[34:18] 同時並行してるんで
[34:19] 必ずその実施に踏み込めるかどうかっていうのは
[34:22] 全然全然
[34:23] ご了承いただいた上でにはなります
[34:26] はい
[34:29] そうですね
[34:29] そこまで時間はかからないかなとは思っているんですけど
[34:33] 今日金曜日なので
[34:36] 火曜日とか水曜日の午後とかでお時間いただけそうな場所ってございますでしょうか
[34:44] どっちでも大丈夫です
[34:47] ありがとうございます
[34:47] そして火曜日の17時とかだといかがでしょうか
[34:55] 水曜のお早めとかでも大丈夫ですか
[34:57] 水曜日になると
[34:59] 大丈夫です
[34:59] 全然全然大丈夫です
[35:01] 午前中の方がご都合さそうですか
[35:03] そうですねトータル的には
[35:06] 11時などいかがでしょうか
[35:07] 大丈夫です
[35:09] ありがとうございます
[35:09] そしてこちらで水曜日なんで3日ですね
[35:15] 3日の11時から12時でお時間いただければなと思っております
[35:21] そこまでにご提案書とMockupの方を作っていきますので
[35:25] 次回のミーティングでMockup見ながらお話できればなと
[35:29] 思っております
[35:31] ありがとうございます
[35:32] 他に何か気になってたことだったりとかご相談したかったりとか
[35:36] 今は大丈夫です
[35:38] メール何かこの後いただけたらそこに先ほど提示したパワポの資料はお送りさせていただきます
[35:46] よろしくお願いいたします
[35:48] 目標KPIとかCVRとか何か入ってますけど勝手にAIが入れたやつなんで気にしないでください
[35:57] わかりましたあるあるでしょ
[35:59] はい
[36:01] なんとなく多分こっちも読んでて多分これAIが入れてそうだなみたいなことができると思うので
[36:07] はい
[36:10] この後次回のURLだったりとかも送らせていただきますので
[36:14] 引き続きよろしくお願いいたします
[36:17] よろしくお願いいたします
[36:19] 本日は次回いただきありがとうございました
[36:21] すみませんありがとうございます
[36:23] ありがとうございます
[36:24] 失礼いたします
[36:25] 失礼いたします
[36:28] ありがとうございました
