[0.0-15.0] アシスタンコのスタイルの方もご参加いただいております。よろしくお願いします。
[2012.1-2021.1] なんていうんでしょう、お金をいただいて提供するとかにしたほうがいいのかなとは思っております。
[2021.1-2023.1] なんでかっていうと、
[2023.1-2026.1] 現場の人たちが、
[2026.1-2030.1] そういったBotがない関係でどうやってやってるかみたいなところでいうと、
[2030.1-2034.1] 弊社みたいなところだと、月額2万とか3万とかのですね、
[2034.1-2039.1] AIを契約して、そのAIを使いながら、いろいろコードを書いていったりとか、
[2039.1-2042.1] マニュアル読み解いたりとか、押していたりするので、
[2042.1-2046.1] じゃあそれを御社側から提供しますみたいな形のイメージになってしまうので、
[2046.1-2052.1] シンプルにAPI容量で赤字になってしまうんじゃないかなっていうところはあったりするので、
[2052.1-2056.1] なんていうんでしょう、どこのフェーズのお客さんだったら、
[2056.1-2059.1] どこまでこういう機能を提供していいみたいなところは、
[2059.1-2061.1] 割と設計が必要なのかなって気がしますね。
[2061.1-2064.1] それこそ、ご契約いただく前のお客様に、
[2064.1-2066.1] そんな高度なAIを無料で提供してしまうと、
[2066.1-2072.1] 逆にそういった能力があるAIなんて、別に関係ない作業もやらせれてしまうんです。
[2072.1-2075.1] そこはしっかりと内部的にプロンプト調整して、
[2075.1-2078.1] こういうことはやらないとかっていうふうにやれば解決できはするんですけども、
[2078.1-2083.1] そういったことができてしまうので、いったらクロード契約してないのに、
[2083.1-2089.1] お医者のチャットボット経由でクロードが使えちゃうみたいなことも大きかったりするので、
[2089.1-2094.1] 結構そこは慎重に考えていく必要はあるのかなって思いますね。
[2094.1-2099.1] それとも、ご検討フェーズのお客様とかでしたら、
[2099.1-2102.1] そんなにちょっと高度な処理とかっていうよりは、
[2102.1-2105.1] ある程度マニアの元に質問回答できるだけれども、
[2105.1-2107.1] もしかしたらいいかもしれないですし、
[2107.1-2110.1] ちょっとこの技術検証してみたいですみたいなところ、
[2110.1-2112.1] おばれはお問い合わせください。
[2112.1-2117.1] お問い合わせしたら、技術検証サポートするようなAIも一緒に提供いたしますよみたいな、
[2117.1-2123.1] 許可制で使えるとか、そういったところの設計は1個必要なのかなって、
[2123.1-2126.1] じゃあその部分運動するだけで、
[2126.1-2129.1] 今、弊社も確かに、
[2129.1-2133.1] 優勝サポート契約っていうものがあるんですよね。
[2133.1-2139.1] やっぱり、応用的な使い方、製品をどういう風に使ったらいいか、
[2139.1-2141.1] サンプルコード作ってあげたりとか、
[2141.1-2146.1] そういったことは優勝サポートっていう形でやってるので、
[2146.1-2151.1] 多分そういう契約とかと絡めるんだろうなっていう感じがします。
[2151.1-2154.1] そのイメージがいいのではないかなと。
[2154.1-2157.1] そうするとうちもサポートレベルとして、
[2157.1-2159.1] マニュアルに書いていることをただ教えます。
[2159.1-2161.1] あなたの知りたいことはここに書いてますって、
[2161.1-2165.1] 教えるだけだったら、優勝契約いらないです。
[2165.1-2169.1] 応用的な使い方まで、一緒にサンプル作ると。
[2169.1-2172.1] そこまでやるんだったら優勝契約してくださいみたいな、
[2172.1-2175.1] 今でもそういう分け方をしてますね。
[2175.1-2177.1] 本当に線引きとしてはおっしゃる通りで、
[2177.1-2180.1] それと全く同じ考え方でいいかなと思ったんです。
[2180.1-2186.1] そうすると、いわゆるBotレベルのものとエージェントレベルのものが、
[2186.1-2188.1] 多分入り口が2つあると思うんですけど、
[2188.1-2193.1] それって同じシステムを別にしないといけない仕組みとして。
[2193.1-2197.1] そうです。もう違うものとして作って、2個作るイメージですね。
[2197.1-2199.1] のほうがいいと思います。
[2199.1-2201.1] 同じで作ることもできるんですけど、
[2201.1-2204.1] 例えばエージェントに対して、この入り口から入ってきた人には、
[2204.1-2207.1] Botレベルの処理しか対応しないでくださいみたいな。
[2207.1-2210.1] 裏側でプロンプトで制御とることもできるんですけども、
[2210.1-2213.1] これプロンプトインジェクションとかっていったりするんですけど、
[2213.1-2217.1] システムとAIの違いって、システムは100%なんです。
[2217.1-2221.1] こう来たらこうみたいな。機械的に動くんですけど、AIはそうじゃないので、
[2221.1-2227.1] いくら指示を出していても、プロンプト投げる側が、ちょっと言葉確認じゃないですけど、
[2227.1-2234.1] AIをうまく誘導すると、エージェント的な処理もしてしまう可能性もあるので、
[2234.1-2237.1] そこは可決して分けた方がいいです。
[2237.1-2242.1] ただですね、年間サポートサービスをやってるんですけど、
[2242.1-2247.1] この業界、それをすごく嫌われるって。
[2247.1-2255.1] 要は、サブスクのようなサービスはすごい嫌われてしまうんですよね。
[2255.1-2259.1] なので、年サポに入っていないお客さんのほとんど。
[2259.1-2265.1] だから、たぶん毎月いくら、1年間にいくらっていうのを、
[2265.1-2270.1] これを理由にするって結構難しいから。
[2270.1-2275.1] 逆に言うと、これを年間いくらにするってやった場合、
[2275.1-2279.1] 使うユーザーはものすごい少ない。
[2279.1-2287.1] 本来使ってほしい人たちも使われてないっていう機械損失になるかなとも思っています。
[2287.1-2293.1] これはもう単純にお客様が便利になる反面、お社側にコストが発生してしまう。
[2293.1-2295.1] そういうことですね。
[2295.1-2297.1] 今、そんな話を出されたってことは、
[2297.1-2301.1] このエージェント側って結構な料金かかるっていう風にイメージしてるんですけど。
[2301.1-2302.1] そういうものが…
[2302.1-2308.1] そうですね。特に私たちみたいな方で、ゴリゴリゴリゴリコード書くような使い方してると、
[2308.1-2310.1] 平均で数万いきます。
[2310.1-2312.1] 月数万ってことですか。
[2312.1-2319.1] どうでしょう。下手したら、1週間で数万いくことも全然あります。
[2319.1-2323.1] 本当にどのくらい使うかですね。重量課金なので。
[2323.1-2334.1] やはり実際にシステムに使うようなコードをAIに欠かせるわけなので、そこは最上位モデルを使うので、
[2334.1-2340.1] そこもかなりコストに、コストというか、それで高くなっちゃってるっていうのがあります。
[2340.1-2345.1] これは先ほど1ラリー0.1円っていうのは、エージェントじゃない方だろう。
[2345.1-2350.1] ですね。ボットレベル出したら、全然書いてあることを見てちゃんと答えてくれれば、それだけでいいので、
[2350.1-2357.1] 軽いモデルでいいんですけど、もう、しっかりとシステムに使うコードは。
[2357.1-2363.1] エージェント方と1ラリーいくらぐらいを想定しているんですか。
[2363.1-2369.1] ちょっと、そうです。本当にどういう処理をやらせるかにもよるんですけれども、
[2369.1-2377.1] ちょっとそちらは後ほど、実調査して資料の方で折り返させていただこうとは思います。
[2377.1-2380.1] はい。
[2380.1-2381.1] はい。
[2381.1-2382.1] はい。
[2382.1-2389.1] 形になると、もしかしたら、有償サポートみたいなところのフック商材みたいな感じで、
[2389.1-2394.1] 一応無料枠みたいなのを決めておいて、その御社側として、いくら分ぐらいだったら、
[2394.1-2397.1] 言ったらちょっと広告宣伝時じゃないですけど、半関係として許容できるなみたいな、
[2397.1-2402.1] 早く決めておいて、そこまでは使っていただけますよ。
[2402.1-2407.1] これ以上使うんだったら、有償契約、有償サポート契約してくださいね、なのか。
[2407.1-2413.1] その、なんかトークンをタップアップで購入してくださいね、みたいな感じで、
[2413.1-2419.1] その減価でかかるトークン使用料の重量課金に、ちょっと手数料を乗せるような感じもかかっていただきました。
[2419.1-2422.1] そういうことも、もしかしたらいいのかなって思う。
[2422.1-2427.1] 買わない、買ってないお客さんも当然マニュアル見るんで。
[2429.1-2435.1] マニュアル見るのにお金が発生するかもっていうのは、なかなか難しい。
[2435.1-2441.1] 分けた方がいいと思いますね。買ってる方向けのと買ってない方向けので。
[2441.1-2443.1] うーん。
[2443.1-2455.1] まあ、その、まだ買ってないでマニュアル見てるだけの方に、サンプルコードを作ってあげる必要はないと思うので、そっちはあくまでも。
[2455.1-2457.1] アクラクター、どういうことを指していますか。
[2457.1-2468.1] いや、例えば、うちって、うちのボードを使うための、まんましインターフェースを作る、Cシャープの画面とか。
[2468.1-2478.1] 多分、Cシャープの画面にAPIを組み込んであるんで、だからそこに、例えばこういう機能、こういう情報を表示するサンプルとかいったら、
[2478.1-2483.1] 多分、うちのAPIをコールして、この情報を持ってきて、それを画面に置いてて、それを、
[2483.1-2484.1] おしゃる通りです。
[2484.1-2486.1] Aエージェントやってくれるんです。
[2486.1-2493.1] ただ、それは、そのAPI機体は購入したお客さんには出してるけど、購入しないお客さんには出してない状況じゃないですか。
[2493.1-2495.1] ただ、マニュアルには書いてます。
[2495.1-2496.1] マニュアルにソース書いてましたっけ。
[2496.1-2497.1] マニュアルにソース書いてましたっけ。
[2497.1-2501.1] マニュアルにも、ソースっていうか、やっぱりAPIの説明は書いてあるんで。
[2501.1-2503.1] APIの説明は書いてあるんですよね。
[2503.1-2508.1] 引数、引数の意味合いとかも、読み取れるので。
[2508.1-2509.1] うん。
[2509.1-2512.1] だから、やろうと思えば、できちゃう。
[2512.1-2519.1] イチュータのチャットボットレベルでも、ソースコードってテキストなので、出力はできるんですけど。
[2519.1-2525.1] 正直、私だったら、GPTの軽いモデルが書いたソースコードは、ちょっと信用ならないなとは。
[2525.1-2527.1] うーん。
[2529.1-2531.1] うーん。
[2533.1-2534.1] なるほど。
[2534.1-2536.1] うーん。
[2536.1-2547.1] ご提案の内容としては、ちょっとその、簡単なチャットボットレベルのときの、立ち上げの費用感と、ランニングコストの温度感。
[2547.1-2556.1] もう一つ、エージェントレベルで、ソースコードだけ書ければいいなのか、何か現場の写真を送って何やりたいか伝えたら、それができるコードを書いてくれてくれるとか、
[2556.1-2568.1] 配線図をアウトプットしてくれるとか、そういうことをやる場合の、初期の費用とランニングコストの温度感みたいなところとかも、出させていただこうと思います。
[2568.1-2575.1] 後者の方だと、正直結構高くなると思います。チューニングとかも結構大変だったりするので、そうですね。
[2575.1-2583.1] 割と大きい開発になるかなっていうふうなところと、ちょっとそこで多分、うまく絡めるといいかなと思っているのが補助金系ですね。
[2583.1-2595.1] 冒頭でちょろっとお話させていただいた、今回のご相談の文脈ですと、デジタル化、AI導入補助金系のかなり相性いいかなと思っておりまして、
[2595.1-2606.1] これ、前までIT導入補助金とかっていう名前だったんですけど、名前聞いたこととか、使われたこととかってあったりされますでしょうか。
[2606.1-2608.1] いや、ないですね。
[2608.1-2611.1] あまり補助金系はご経験ないと思うんです。
[2611.1-2614.1] 最高…なんだっけ。
[2616.1-2618.1] 名前忘れちゃったな。
[2618.1-2622.1] リアの最高値控除金だ。それだけはあります。
[2622.1-2623.1] あ、失礼。
[2623.1-2624.1] あ、失礼。
[2624.1-2630.1] 授業再構築補助金に問われているようなところでしたら、ある程度補助金の仕組みとか枠はご理解されているかなと思うんですけど、
[2630.1-2638.1] 基本的に使った金額に対して、1分の1でしたりとか、3分の2でしたりとか、戻っておきますみたいなのが補助金になりますね。
[2638.1-2648.1] こちらの補助金が、デジタル化、AI導入補助金って名前の通りではあるんですけれども、何かAIを入れて業務を効率化していきたいでしたとか、そういったところですね。
[2648.1-2654.1] 単純なデジタル化でも大丈夫なんですけど、AIでなくても、そういうところに対して下りる補助金っていうようなところになります。
[2654.1-2667.1] 今回のご相談内容も、これ多分新規事業にも見せれるし、デジタル化にもどちらにも見せれるかなと思うんですけれども、デジタル化、今まで有償サポートないしはお問い合わせ対応みたいなところでやれていた業務を
[2667.1-2677.1] AIチャットボット、もしくはAIエージェントによって代行させます。もしかしたら100%代行まではいかないかもしれないですけど、業務の70%ぐらいをAIに合わせることができそうですみたいなの。
[2677.1-2690.1] 補助金申請できるかなというふうに思っております。この補助金の金額間ですね。どのくらい出るのかみたいなところをご説明できればなと思っておりまして、
[2690.1-2702.1] これですね、ちょっと大きく分けて狙うべき枠っていうのは2つあるかなと思っておりまして、まず1つが通常枠ですね。特に4プロセス以上。このプロセスっていうのは何なのかっていうと、
[2702.1-2711.1] ちょっと細かく説明させていただければなと思うんですけれども、業務上、業務数みたいな感じのイメージで考えていただければいいかなと思います。
[2711.1-2720.1] 4業務自動化するんだったら、これが4プロセスみたいな感じのイメージですね。これが4プロセス以上、4業務以上自動化するってなると、
[2720.1-2731.1] ここですね、150万から450万で2分の1なので、マックスの使い方すると900万円使って450万円返ってきましたみたいな感じのことができるのが、この通常枠です。
[2731.1-2740.1] なんですけれども、この4プロセス以上、4業務以上ですね、が該当するデジタル化、AI化でないといけませんっていうところについてあります。
[2740.1-2749.1] 1プロセスだと、1プロセスは絶対満たすと思うので、1プロセスも満たしてなかったら、それはデジタル化でも何でもないので、
[2749.1-2757.1] 1プロセスは絶対満たすと思うので、この4プロセス満たせなかったとしても、こっちは使えるかなって感じですね。
[2757.1-2763.1] 150で2分の1なので、300万使って150万返ってきますみたいな感じのデジタルです。
[2763.1-2769.1] もう1つが、ちょっとこれはトリッキーな使い方をする人が出てきてしまうんですけれども、
[2769.1-2778.1] このインボイス枠、インボイス対応類型のここの枠が割とおいしいかなと思っておりまして、補助率が3分の2なんですね。
[2778.1-2788.1] なので、1分の2よりも大きいパーセンテージに返ってきますっていうところと、金額が350万円までになってくるので、
[2788.1-2798.1] この3分の2の部分が350ってところなので、全体予算でいくと、これは175なんで、525万円ですかね。
[2798.1-2803.1] 525万円使って350万円返ってきますみたいなところになります。
[2803.1-2810.1] 受給額でいうとこっちのほうが大きいんですけれども、補助率でいうとこっちのほうが大きいっていうところなので、
[2810.1-2816.1] 使いやすい方を目指していくかもちでいいかなと思うんですけども、ちょっとこっち癖がありまして、
[2816.1-2821.1] こっちだと業務数、プロセスなんですけど、ここも明確に指定されていまして、
[2821.1-2826.1] 会計受発注決済のうちの2機能以上っていうふうな形になってきます。
[2826.1-2831.1] イメージでいうと、何か受発注システムだったりとか、会計計はマネーフォワードとか、プリとかですね。
[2831.1-2836.1] 導入と一緒にやる形にしないと、ここは満たせないかなっていう感じですね。
[2836.1-2841.1] で、AIエージェントを作りますだけだと、このどれも満たせないので、
[2841.1-2850.1] どうにかここを満たすようなSaaSの導入とセットで申請していく必要はあるかなっていう感じのイメージです。
[2850.1-2857.1] で、今回ご相談いただいている内容だけで、申請を目指すのであれば、こっちの枠なんじゃないかなっていうふうな気はしているんですけれども、
[2857.1-2863.1] もともとちょっと会計回り、フリー導入したか、マネーフォワード導入したか、
[2863.1-2868.1] 受発注回りも自動化できないかな、AIでやれることないかな、みたいなところがあるのであれば、
[2868.1-2873.1] こっちも検討には入ってくるかなみたいな感じのイメージですね。
[2873.1-2880.1] 温度感でいうと、この補助金どうですかね、使えそうだったりしますか。
[2880.1-2882.1] まあ、通常ですね。
[2882.1-2884.1] そうですね。
[2884.1-2891.1] AIエージェントを作るとかってなってくると、本当にどこまでやるか次第ではあるんですけれども、
[2891.1-2895.1] 本当に満足のいく、高性能なものを作るとかってなってくると、
[2895.1-2902.1] ご予算1000万ぐらいあると、自信を持っていいものを作れますというふうにお話できるぐらいの温度感になってくるので、
[2902.1-2908.1] 割とこの枠で4プロセス以上で900万の予算作れるので、そこに対して450万円返ってきました、
[2908.1-2916.1] ということができるので、こっちでやらせていただくと、かなりこう、おそらく業界の中でもちょっと驚かれるような、
[2916.1-2921.1] こんなのあるんです、みたいなものは作れるんじゃないかな、という気はしております。
[2921.1-2928.1] ちょっとプロセスのご説明もさせていただきましょうか。
[2928.1-2931.1] なるほど。
[2931.1-2939.1] これで、さっきとあんまり表示が変わってないので、ちょっと違ったらしがないですね。
[2939.1-2945.1] こちらですね、先ほどご説明したプロセスっていうのが何なのか。
[2945.1-2951.1] この中から4個該当するものがある、必要があるという感じですね。
[2951.1-2959.1] この業務固有プロセスと、汎用自動化分析ツール、この2つは大体のツールが当てはまるので、
[2959.1-2963.1] ここは取れるかなと思うんですけど、1個のツールでこの2個を取るっていうのはできないんですね。
[2963.1-2968.1] この2つ、汎用的すぎるので、どっちか片方しか認めませんよっていうふうになってます。
[2968.1-2974.1] なので、このどっちか片方は取れますとして、この中からあと3つ取る必要があるって感じですね。
[2974.1-2981.1] 顧客対応販売支援は、ざっと持ってる人とか、AIエージェントは、がっつり当てはまるかなと思うんで、
[2981.1-2988.1] 1個、2個はいけそうだなっていうので、あと2個この中から何か要件を満たせないといけないということです。
[2988.1-2991.1] この辺はもしかしたらいけるんじゃないかなって気がしますね。
[2991.1-2996.1] 合計業務、ちょっと訓練、教育みたいなところとかいつだけどと思うんだって。
[2996.1-3001.1] 教育訓練。これでも教育訓練って本当社内メンバー向けですよね。
[3001.1-3006.1] イメージで言うとそうです。でも社内のメンバーもこのAIエージェントを使って、
[3006.1-3010.1] 言ったら優勝サポートをするための訓練ができますみたいな。
[3010.1-3012.1] 言い方はできるかなって。
[3012.1-3018.1] 実際に、おそらくこういったAIエージェントを作ったら、優勝サポートで人力でやりつつも、
[3018.1-3023.1] ちょっとAIの力借りてみたいなことは現場でも行われるんじゃないかなと思うので、
[3023.1-3025.1] ここはできるかなって感じです。
[3025.1-3033.1] 1、2、3はいけるんですけど、この辺がちょっと工夫は必要かなって気はしますね。
[3033.1-3038.1] 会計、財務、経営とかみたいなところで言うと、チャットボット作りますってより、
[3038.1-3043.1] クロード、GPTでもいいんですけども、クロードを会社に導入して、
[3043.1-3048.1] いろいろ効率申請するのであれば、財務職業を作ったりでしたりとか、
[3048.1-3053.1] そういう経営系のことも結構AI活躍する場所ではありますので、
[3053.1-3060.1] まあ、4プロセスみたいなところは満たせるんじゃないかなって気はしますね。
[3060.1-3065.1] 難しい。
[3065.1-3068.1] ちょっと厳しいかなって。
[3068.1-3071.1] 4つでは厳しいかな。
[3071.1-3076.1] ちょっとこれ、ツールの登録事例みたいなところとかを見ていくとですね。
[3076.1-3079.1] 公開機能、オンジルの方が何ですか?
[3079.1-3091.1] 実際どのツールがどういう風なプロセスで登録されているかっていう風なところを見ていくと。
[3091.1-3099.1] GPTとか汎用自動化ツール取れている事例もありますし、さっきの教育のところ取れている事例もありますね。
[3099.1-3100.1] いい。
[3100.1-3102.1] よろしくお願いします。
[3102.1-3103.1] よろしくお願いします。
[3103.1-3109.1] じゃあまた、大体2週間後くらいの打ち合わせができるのですか?
[3109.1-3113.1] お客対応も取れているやつあっても、確かに。
[3113.1-3115.1] よろしくお願いします。
[3115.1-3122.1] あと、GPTとかチューニングして決済セクテムとかと連携させるとこういうのも取れるみたいですね。
[3122.1-3125.1] 今回決済使わないと思いますけど。
[3125.1-3130.1] ジョミルだと。
[3130.1-3144.1] 汎用自動化ツールがちょっと多くはありますが。
[3144.1-3153.1] どうぞ登録少なかったと思うんですけど。
[3204.1-3205.1] うまくやっているところ。
[3205.1-3208.1] うまくやってそうではある。
[3355.1-3361.1] プロードコードに毎月3万払ってるからそっち使うよみたいなケースはあるのかなっていう気がありますね。
[3361.1-3380.1] 逆に大企業さんとかですと結構その辺制約固くて使いたいけど使えないみたいな状況かなり多いので、逆にその提供側からツール提供してもらえたら、多分内部でも使用許可下下りやすいなし、ありがたがられるんじゃないかなっていう気がします。
[3380.1-3383.1] そんな感じですかね。
[3383.1-3398.1] いろいろと情報をバーっと出してしまいましたが、何か気になるところとか整理したいところとかあったりするんですか。
[3398.1-3401.1] どうです。
[3431.1-3446.1] いったんご提案書を挙げさせていただこうと思いますので、それベースにご検討していただければなっていうのと、かなりこういった分野、弊社得意なところではありますので、割といろんなところでお役に立てるんじゃないかなって気はしておりますので。
[3446.1-3447.1] ご気軽に。
[3447.1-3448.1] ご気軽に。
[3448.1-3455.1] 再確認なんですけど、ホームページとかがAIで引用されやすいっていうのは、御社は独自で対策をされているってことですね。
[3455.1-3464.1] 意図的にやっています。うちのマーケターがかなりそここだわってやっているので、同じノウハウでご支援させていただくことは十分可能です。
[3464.1-3466.1] ウェブ製作になっていく。
[3466.1-3472.1] そうか。じゃあ普通にホームページ作るとか、そういう政策とかもいきます。
[3472.1-3481.1] ですね。ホームページ製作とかもやってはいるんですけど、あまりメインではないですね。システム開発に付随して必要なんで作りますよ。
[3481.1-3487.1] それだけで受けることはないんですけど、ご依頼いただければ見積もりは可能ですけども。
[3487.1-3499.1] 方法システム開発とセットで制作させていただく。で、割とシステム開発メインでやらせていただいているので、そこの見積もりはかなり安くやらせていただくことが多かったりはします。
[3499.1-3506.1] うーん。そのウェブ製作をした場合、ざっくりいくらぐらいなのかって。
[3506.1-3515.1] ランミングページ1枚とかだったら本当に安くて、変な話、2、3万とかでも全然作れちゃいますよみたいなところではあるんですけど、
[3515.1-3523.1] さすがに3万円だけでお仕事をお受けするケースはあまりないので、何かマーケティングのご支援とか、鉄道の開発とかのご支援とセットだったら、
[3523.1-3529.1] なんか全然、本当に安く作りますよって簡単に作れちゃうんで、っていう感じでやらせていただくことが多いですね。
[3529.1-3536.1] それはあれですか、その見た目とかいろいろ、なんでしょう、お絵かきしてもらうとか、そういうところも含めてざっくりするぐらいでいいですか。
[3536.1-3542.1] デザインから入らせていただきます。ちょっとデザインどこまでこだわるかみたいなところは事前にヒアリングさせていただいておりまして、
[3542.1-3547.1] デザイナーをアサインしてやっていくってなると、もう少しお見積もり上がってくるかなっていうふうな。
[3547.1-3555.1] なんかその御書で作った事例のページとか、見させていただければ、そのリンク先とかも、後で言ってもいいんで。
[3555.1-3559.1] あ、さていたしました。はい、事例して送らせていただこうと思います。
[3559.1-3564.1] で、まあ割とですね、デザイナー入れないで2、3番で作りますってなっても、
[3564.1-3573.1] 今、AI使ってデザインできちゃうんで、結構AIのデザインも、使うモデルと使う人にもよるんですけども、全然いいのできます。
[3573.1-3579.1] なるほど。今回これを機に、Web自体も刷新しようと思ってるんですよ。
[3579.1-3585.1] なので、まあ予算的には、そのどっちがどれくらい配布か全然決めてないんですけれど、
[3585.1-3589.1] まあちょっとその方も含めて判断していくって形になります。
[3589.1-3597.1] はい、失礼いたしました。もしかしたらまあ補助金で、取れるだけ予算取っちゃって、その予算の中で何やっていきましょうみたいな、
[3597.1-3603.1] そういう風に、ご支援の仕方とかが、あの、合うのかなっていう気もしますね。
[3603.1-3612.1] 先ほどのIT導入補助金に関しましては、毎月募集を行っているので、結構使いやすいものになって、
[3612.1-3626.1] ここ、まあ一旦こう、補助金支出の大枠で何したいか決める必要あるんですけども、細かいところまでは決めなくて、補助金支出でとりあえず予算取れたりやりましょう、何かしましょうみたいな感じもありかなって気はします。
[3626.1-3634.1] この一次募集も終わっちゃってるんですけど、二次募集が次6月15日締め切って、1ヶ月ぐらいで結果発表されて、
[3634.1-3642.1] 結果発表されて受かっていれば、開発できますよみたいな感じですね。これが1ヶ月スパンであるっていう感じですね。
[3642.1-3648.1] 今これ4時締め切りまでしか公開されてないので、4時までは確実にこの補助金あるんですけど、
[3648.1-3656.1] 5時、6時、7時は予算が余ってたらあるし、予算がもう4時で使い切っちゃってたらないっていう感じですね。
[3656.1-3661.1] これ導入、採択された後、何回くらい毎年報告しなくちゃいけないんですか?
[3661.1-3668.1] 大体が年1で3年間です。ほとんどの補助金同じです。事業再構築も同じだと思うんですけど。
[3668.1-3670.1] 事業再構築5年なんですよ。
[3670.1-3675.1] あれですね。出すときに事業計画5年で出してるか3年で出してるかだと。
[3675.1-3684.1] 私第2回のときに申請取ったと思うんですけど、5回、5年縛りでしたね。
[3684.1-3687.1] 5か年計画しか出せなかった。そう。
[3687.1-3688.1] そう。
[3688.1-3689.1] これ回によって。
[3689.1-3692.1] 3回とかになったのかもしれないですね。3回とかになったのかもしれないですね。
[3692.1-3697.1] ですね。回を追うごとに、ほどきちょっとずつ変わっていくので、かもしれないですね。
[3697.1-3702.1] しかも、ちょっと脱線しちゃいますけど、
[3702.1-3708.1] 売り上げとかが出てないと、返金しなくちゃいけない。
[3708.1-3714.1] そうですね。IT導入補助金は返金ないので、そこは教えていただければと思うんですけど。
[3714.1-3722.1] あと、事業再構築、ご報告されてるかなと思うんですけど、報告あるっていうふうにご認識されてたので、
[3722.1-3727.1] あれ報告してないと補助金かなり受かりにくくなっちゃうんですよ。他の補助金も。
[3727.1-3733.1] そこはちょっと気をつけてやっていく人があるかなっていうふうに思います。
[3733.1-3737.1] そういう感じですかね。
[3737.1-3743.1] 一旦、今日お話しさせていただいた内容をまとめる形で、ご提案書を挙げさせていただきますので、
[3743.1-3747.1] 遅くとも1週間以内にはまとめて送らせていただけると思います。
[3747.1-3748.1] お願いします。
[3748.1-3751.1] そうですね。そちらをご覧いただければなと思います。
[3751.1-3757.1] ご提案書を送らせていただいた後ですけれども、ご提案書の内容を説明するミーティング設定しておくか、
[3757.1-3762.1] 一旦見ていただいてから、また何かお話しするか決めるか、どちらでも大丈夫なんですけども、
[3762.1-3765.1] どっちの方が進みやすそうとかあったりされますでしょうか。
[3765.1-3767.1] 一旦見てから、見てから。
[3767.1-3769.1] 失礼いたしました。
[3769.1-3772.1] 金額がすごい高いところになるじゃん。
[3772.1-3775.1] 失礼いたしました。全然全然。
[3775.1-3781.1] 補助金申請の方ですと、手数料がですね、成果報酬で8%から15%の間と、
[3781.1-3790.1] 着手金5万円でやらせていただいておりますので、まずは補助金やってみようみたいなところからでもいいのかなっていう気はしております。
[3790.1-3795.1] あと、締め切りですね。あとちょっともう一度画面共有するんですけども、
[3795.1-3800.1] どのくらいのスピード感でやっていきたいかみたいなところもあるかなと思いまして、
[3800.1-3806.1] もしこの二次募集で目指していくのであれば、6月15日が締め切りなので。
[3806.1-3808.1] たぶんそこ全然間に合わないと思うんで。
[3808.1-3810.1] そうですね。
[3810.1-3812.1] ちょっとご検討してます。
[3812.1-3818.1] こっちですかね。こっちであれば、そこまで急いでご検討するけどもないかなと思いますので。
[3818.1-3822.1] そういった形で進めていければなと思います。
[3822.1-3826.1] 割とまあこういうことをやりたいなったりとか課題感聞かせていただけたかなと思うんですけども、
[3826.1-3830.1] あの結構うちでお役に立てそうだなとは思っておりますので、
[3830.1-3834.1] いろいろとご相談いただけたら嬉しいなと思っております。
[3834.1-3837.1] はい、では引き続きよろしくお願いいたします。
[3837.1-3838.1] ありがとうございました。
[3838.1-3840.1] ま、実は次回いただいてありがとうございました。
[3840.1-3842.1] 失礼します。
[3842.1-3844.1] お願いいたします。
[3844.1-3846.1] お願いいたします。
