[00:06] マットがここかな
[33:40] これ開発言語とかなのでかなりマニアックなところになるんですけれども
[33:47] Next.js Reactっていうふうな言語を使って開発していければなと思っております
[33:53] 私たちAI駆動開発っていうですね
[33:56] AIを使ってですね
[33:57] 効率的に開発を行っていきますよっていう会社ではあるんですけれども
[34:00] その開発手法に最も適している開発言語っていうふうなところでご理解いただければなと思います
[34:08] バックエンドですね
[34:09] バックエンドの言語は特にこれじゃないとダメっていうのはないかなと思っているんですけれども
[34:15] Node.jsっていうJavaScript系の言語で作らせていただいたらいいかなと思っているっていうところになります
[34:23] データベースですね
[34:25] ちょっとここは具体的に何使うかというと
[34:27] どのくらいのデータを保管するかみたいなところによってご提案を返させていただく形になるかなと思っているんですけれども
[34:35] そうですね
[34:36] かなり扱うデータが多くなってくるとAWSからのようなAmazon系のデータベースになってくるかなとは思いつつ
[34:44] そこまで一般的な範囲で収まりそうなのであれば
[34:47] Azure SpacesというものでしたりとかNeonというものでしたりとか
[34:52] ここら辺の言語と相性がいいっていうふうに言われてるようなものを使っていければなと思います
[34:58] 決済基盤ですね
[34:59] 決済基盤は割といろいろなものがあるんですけれども
[35:03] 一応開発の環境としましてはStripeというものが使われることが多いので
[35:12] 特に細かな制約などなければStripeを使う方法性でご提案させていただければなというふうには思っております
[35:21] あとインフラですね
[35:22] 基本的にはクラウドホスティング
[35:23] どういうことかっていうと自社のコンピューターに置いておくのではなくて
[35:27] クラウド環境に置いておくような形でやっていきましょうっていうふうなところになります
[35:31] 具体的なツールのところに関しましては要件定義のフェーズで確定させていただきまして
[35:37] ランニングコストどのくらいになりそうですとかっていう話もさせていただければなと思うんですけれども
[35:44] 大体のですね最近のサーバー系の料金体系っていうのが
[35:49] 基本料金プラス使用料に応じた重量課金みたいな形になっておりますので
[35:54] ユーザーが増えていけばですね
[35:58] コストは上がるんですけれども
[36:00] ただただ最初のうちってそんなにユーザーいっぱいいるわけではないと思うので
[36:04] ただただシステムとして動かすっていうふうなぐらいでしたら
[36:07] 大体ランニングコストは1万円以下に抑えれたらいいんじゃないかなぐらいの温度感で
[36:16] あとセキュリティ的なところですね
[36:18] 決済機能今回入ってくるので
[36:22] これはできるだけこうしたいですっていうところであるんですけど
[36:25] 要件によってはシステム側でカード情報を保持しなきゃいけないんですけども
[36:29] 今回に関しては特にそんなに細かくカード情報を同行するようなシステムではないと思うので
[36:34] 基本的に自社側ではカード情報は管理せずに
[36:38] 決済システムの方に任せるような形でやっていけたらいいのかなっていうところと
[36:43] あと基本的なあれですね
[36:45] 通信の暗号化でしたりとか
[36:47] Webだったりとかのシステムにおいて基本的なところは満たしていきますよっていうふうなところと
[36:53] あとは会員系の情報ですね
[36:56] 会員登録のところにどこかに入ってくるときに
[36:58] どうまで情報を取りますかみたいなお話はあったと思うんですけども
[37:02] 例えばですけど
[37:03] これ動物病院のところを取るのであれば
[37:06] コメント欄とかでユーザー同士の交流できるような機能を作ると思うんですけど
[37:11] どこの動物病院を使うかはバレない方がいいのか
[37:14] 見えた方がコメントの信頼性につながるのかとか
[37:19] あとはそこはユーザーで選べるようにするのかとか
[37:21] そういったところをしっかりと気を使ってですね
[37:25] 要件定義を進めていけたらなというふうに思います
[37:30] 開発スケジュールですね
[37:33] 要件定義の期間ですと
[37:34] 大体2週間から3週間ぐらいで収めれたらベストかなとは思っております
[37:41] 通常の開発ですともう少し時間がかかるケースの方が多いんですけれども
[37:45] AI駆動開発っていうような手法でやらせていただく場合ですと
[37:48] こういった感じでですね
[37:50] 画面を作りながらディスカッションしていきますので
[37:54] 割とここは従来よりもスピーディーに進めれるかなというふうに思っております
[37:59] 弊社でやらせていただいているやり方で言いますと
[38:02] 画面を作りながらですね
[38:03] この機能いけますかいりませんかでしたりとか
[38:06] この機能に関してはどういう感じが理想ですかっていう感じで
[38:09] すり合わさせていただきまして
[38:11] 最終的にこの出来上がった画面を元に
[38:14] 要件定義書っていうものを作らせていただきます
[38:16] 要件定義書のイメージとしては画面一覧が何で
[38:19] 機能一覧が何で
[38:21] その画面ごとに大体こんなものですよみたいなものがまとめられている感じのものになります
[38:26] なので画面分析をしていただくと
[38:28] これをページベースですり合わさせていただいた上で
[38:29] ちゃんとドキュメントとしても整理してすり合わさせていただくので
[38:34] ここはしっかりとやらせていただきますので
[38:37] ご安心いただけましたらと思っております
[38:40] 結構そんな感じで細かくやっても
[38:42] 2週間か3週間ぐらいで収めれるような感じで動いていければいいんじゃないかなというふうに思っているので
[38:48] というふうなところですね
[38:50] 開発ですね
[38:52] ここちょっとMVPっていうふうに書いてはいるんですけども
[38:58] 一旦ちょっと会員が増えるまで実装しないだろうなみたいな機能はいくつかあるかなと思うので
[39:03] 特にAI系の機能とかですね
[39:06] 後の開発がある前提で一旦作ってみましょうぐらいの範囲に要件定義で収まれば
[39:12] 大体このくらいで作れますよっていうふうなところになります
[39:16] ここが要件定義のところでもうAI系の機能だったりとか
[39:20] もうがっつりとすごいものを作っちゃおうみたいな感じになってくると
[39:25] ちょっとここは期間プラスでいただく感じですね
[39:28] そういう感じになるかなというふうには思っていますが
[39:30] 一旦お話聞く限りだとこのくらいの要件からスタートするだろうなというふうな範囲で出させていただくと
[39:35] 1か月か2か月ぐらいというふうなイメージかなというふうに思っています
[39:40] AI系の機能は全く実装できないってことはないので
[39:44] シンプルにあれですね
[39:47] 無料で公開する範囲にAI系の機能を付けすぎちゃうと
[39:50] 従量課金の赤字になっちゃいますよみたいなことがあるので
[39:53] そんなに重くはないだろうという感じの想定ということです
[39:58] 開発
[40:00] 検証リリースみたいなところですね
[40:01] この2週間から3週間程度の時間いただけましたら
[40:04] できるかなと思っております
[40:06] 作ったものに対してこちら側で最終テストを行ったりとかですね
[40:10] あとは御社側でも触っていただいてみたいなことをしていく期間です
[40:15] 将来的な拡張みたいなところですね
[40:19] 例えばですけども興味カテゴリー自動配信ぐらいは
[40:21] 全然フェーズ1に入れちゃってもいいかなと思うんですけど
[40:24] 先ほど私がご説明したような
[40:27] ページの滞在時間計測指定だったりとか
[40:30] そういうことをやったような
[40:32] 高度なレコメンドっていうんですかね
[40:34] やっていくってなると
[40:36] そこは内部的にAIかなり使うっていうところもありますし
[40:40] 結構チューニングが大変な場所だったりもしますので
[40:43] 次のスコープに入れる感じがいいんじゃないかなっていう風なイメージです
[40:50] で補助金のところですね
[40:51] ちょっとここの補助金の内容は
[40:54] ご提案書にもう書かせて
[40:56] いただいてるんですけれども
[40:58] 実際に補助金の募集要項を見ながら説明するのがあっていうのと
[41:02] 前回ご説明させていただいた内容と同じではあるんですけれども
[41:07] 気になるので
[41:08] ちょっとこっちを見ながら
[41:11] おさらいできたらなというふうには思ってます
[41:16] これですね
[41:16] デジタル会合導入補助金っていうのが
[41:19] こんな感じの補助金になります
[41:21] というところですね
[41:22] この機能要件何プロセス満たすかっていうのが
[41:25] まあ
[41:26] 業務が自動化されるかみたいな話で
[41:29] でこれがいくつ該当するかによって枠が変わってきます
[41:32] という風なところです
[41:34] で補助率は通常枠ですと1分の2で
[41:37] こっちの1プロセス以上
[41:38] 1プロセスなんで
[41:39] これ1個機能が自動化するって話なんで
[41:41] これは絶対満たせるので
[41:43] これで行く場合は150万戻ってきますね
[41:47] 1分の2なんで
[41:48] マックスが300万円使って150万戻ってきますみたいな使い方ですと
[41:52] で4プロセス以上満たせそうですってなってくると
[41:55] 450万が満たせると
[41:56] マックスになってくるので
[41:57] 最大の使い方すると
[41:59] 900万円使って450万戻ってきますみたいなことができます
[42:02] という感じですね
[42:04] 先ほどの開発のスコープですと
[42:06] そんな900万円も予算なく全然できちゃうので
[42:09] これでやるってなった場合は
[42:11] もう結構開発のとこも盛り盛りで
[42:14] 結構強いものというか
[42:16] 大きいものを作っちゃいましょうなのか
[42:18] 自社でやりたいこと他にDXでいっぱいありますみたいな感じのパターンかな
[42:23] という風に思っております
[42:25] でもう1個の枠が
[42:26] インボイス対応類型というものがありまして
[42:28] こっちだと3分の2補助になるので
[42:31] かなり補助率高いですという風なところですね
[42:35] でこれでマックスが350万円なので
[42:38] 3分の2の部分が350万円になってくるので
[42:41] 525万円ですかね
[42:43] に対して350万円戻ってきますみたいな使い方ができますと
[42:48] これが使えたらかなりおいしいなとは思うんですけど
[42:52] 条件がこっちよりちょっと複雑になってまして
[42:55] こっちはプロセス対応になってますので
[42:57] 正確に何が自動化されるかっていうのが指定されています
[43:00] という感じですね
[43:01] 会計受発注決済このうちの日記のという風な形です
[43:07] で先ほどのプラットフォームの開発も
[43:10] この自動化の範疇に入れて申請していく感じにはなると思うんですけども
[43:15] どっちかというと新しく何かプロダクトを作りますので
[43:19] あれだけでですねプロセス
[43:21] 1プロセスだったらまだギリギリいけるかなって気もするんですけど
[43:25] これを作りますだけでこの補助金取るのは難しいですよね
[43:27] 基本的には難しいかなと思っています
[43:30] なのでもう一個ですねここにがっつりと満たすような
[43:34] 何か自動化の誤信させていただいて
[43:36] それとセットでこのシステム開発やりますっていう風な方向性で
[43:40] 補助金申請していけたらいいのかなっていう風なところになります
[43:50] そこがここら辺に書かせていただいている内容になります
[43:54] 概算のお見積もりですね
[43:58] 要件定義込みで大体300万円の収まるぐらいで開発させていただけたらなという風に思っているところです
[44:06] そこにプラスで例えば先ほど私が話したような高度なAI機能を載せるってなってくると
[44:13] プラスで50万円ぐらいご予算いただけば実装自体は可能です
[44:16] 実装自体は可能なんですけれども
[44:18] やっぱりAIの機能API利用料がかかってくるので
[44:21] そこはすぐやるかどうかっていうのは
[44:24] しっかりと考えて意思決定していく必要はあるかなと思っています
[44:29] あとは補助金使うので
[44:31] 結局補助金の枠っていうのが限られているので
[44:37] 例えばこの枠でいくんだったら300万円マックスで使えますようですし
[44:41] 全然マックスでやる必要性はないんですけれども
[44:43] この枠でいくんだったら900万円マックスで使えますよという感じです
[44:48] こっちだと525万円マックスで使えますよというところになってくるので
[44:52] 開発自体は大体300万円ぐらいでやらせていただけたらいいんじゃないかなと思っていますので
[44:58] 250万円分何かやりたいことがあればそれも一緒にやっちゃいましょうというところですね
[45:04] なぜかというと補助金使うので2分の1とか3分の2とか返ってくるので
[45:10] 追加で何かやっちゃった方がむしろ
[45:14] 実質的に使うお金が浮くというパターンだったりとか
[45:18] あんまり使う場合と使わない場合で変わらないということも多かったりするので
[45:23] 大体250万円から300万円分ぐらい追加でやりたいことできますよ
[45:27] という感じです
[45:32] ある程度補助金で予算だけ取っておいて
[45:35] 後でやりたくなった時にやるみたいなことも可能ではございますので
[45:39] そこは柔軟に動いていけるかなという風に思います
[45:44] ランニングコストのところですね
[45:46] 要件定義フェーズで具体的にどういった技術スタックで
[45:51] 何のサーバー使うかとかで決まってくるところであるんですけども
[45:55] イメージとしては1万円以下に抑えたいですねという風なところで
[45:59] 想定していただけますと幸いです
[46:04] あとは会社概要とかになりますので
[46:08] 一旦ご説明としてはこんな感じかなという風なところです
[46:12] 基本的には前回のお打ち合わせで話した内容と変わりはないかなとは思いますので
[46:18] 後ほどこちらのご提案書も見ていただきながら
[46:22] ご検討を進めていただければなと思うんですけども
[46:25] 1個だけ何か追加であるとしたら補助金申請を使う場合ですね
[46:32] そうですね
[46:32] スケジュール感があるのでちょっとご検討の際に
[46:35] ここは注意していただきたいなというところで
[46:39] この補助金毎月募集を行っているんで
[46:43] そんなに焦ることはないとは思うんですけど
[46:45] とはいえ最短で動きたいってなった場合
[46:48] 今月は15日締め切りなので
[46:51] 結構急いで動く必要あるかなというところです
[46:55] 15日逃しちゃってもまた1ヶ月後に7月21日であるので
[47:00] そこまで焦る必要はないんですけれども
[47:03] 遅い時に動いていきたい場合はここに間に合わせたいかと思うので
[47:07] 補助金のご支援そうですね
[47:09] 1週間から2週間ぐらいお時間いただきたいところではありますので
[47:15] 早めに意思決定していただく必要が出てきちゃうかな
[47:17] という感じのイメージです
[47:21] ざっくりとご説明させていただきましたが
[47:24] 何か深掘りたい部分などございましたでしょうか
[47:30] 今一回調べたと思います
[47:34] ありがとうございます
[47:37] 後ほどMockupの方とご提案書ですね
[47:40] こちら両方送らせていただきますので
[47:43] ご自身でも触ったり読んだりしていただいて
[47:46] また決めていただければなとは思うんですけども
[47:50] 補助金のところだけちょっともし6月15日申請で
[47:54] 6月15日だと結果発表が
[47:58] 7月23日
[48:00] なのでそこで受かっていれば
[48:02] 7月23日から開発進められますよみたいな感じのイメージになりますね
[48:06] 要件定義2週間と開発2ヶ月ぐらいのイメージで
[48:09] 考えさせていただければと思うので
[48:11] 早ければ9月とか
[48:14] 遅くても10月末ぐらいまではリリースできるかな
[48:16] という感じのイメージです
[48:18] 直近で動いていった場合ですね
[48:20] それが次回の補助金になった場合だと
[48:23] 単純に1ヶ月ぐらい変わってくるかなという感じのイメージになってくるので
[48:27] 11月とか12月とか
[48:29] なので
[48:29] 次の補助金になった場合は
[48:30] 今回の補助金だったら
[48:32] 秋ごろリリース目標で動いていきましょうみたいな感じになりそうで
[48:37] 次の補助金に回ると
[48:39] 年内リリースで動いていきましょうみたいな
[48:41] 温度感になるかなというイメージですかね
[48:44] ちなみに補助金申請も通らない可能性とかもあるかもしれないなと思うんですけど
[48:50] 通ったら依頼するみたいな感じですかね
[48:54] あとお支払いについては
[48:56] 補助金通りましたでお願いするので
[48:59] でも補助金は通らない可能性とかもあるかもしれないなと思うんですけど
[49:00] 補助金って後から
[49:02] 確か一番最後にアップされるようなイメージだと思うんで
[49:07] 頭金で例えば600万円用意しなきゃいけないのか
[49:10] 300万でいいのかとかで
[49:13] だいぶまた違うんですけど
[49:15] そのあたりはどんな感じになるんですか
[49:17] 一つずつ整理して答えていきますね
[49:19] まず補助金受からない可能性があるっていうのはおっしゃる通りでして
[49:23] だいたいこのAI導入補助金の採択率って3分の2ぐらいっていう風に言われているので
[49:31] 可能性の方が高い認識で問題ないかなと思うんですけど
[49:34] とはゆえ絶対に受かるものではないので
[49:36] ってなった場合ですね
[49:38] 一応弊社の補助金支援の仕組みとしましては
[49:41] 一度支援させていただいた補助金に関しては
[49:44] 受かるまでご支援は続けさせていただきます
[49:46] っていうことをさせていただいております
[49:48] 着手金いただいた以上
[49:50] その補助金受かるまでご支援します
[49:52] というようなところをですね
[49:53] やらせていただいているので
[49:55] ここはちょっと開発のタイミング
[49:56] どこまでお社が待てるかっていう風なところになるかなと思います
[50:00] 6月15日落ちちゃったら次7月26日目指しましょうみたいな感じで動いていけるんですけれども
[50:06] 補助金ちょっと待てないよっていうふうな場合は補助金でお金降りないですけど
[50:11] もう前倒しで開発しちゃいますかみたいなお話になってくるかなっていうふうなイメージです
[50:17] 補助金の入金に関しましてはおっしゃる通りでですね
[50:20] 補助金というのは基本的に使ったものに対して返ってくるっていう感じになるので
[50:25] 例えばですけれどもちょっと計算を簡略化するために300万円で1分の2で取ったとします
[50:31] 300万円を例えば開発だとよくあるのは着手金と観光金
[50:38] 終わった後の残りのお金って感じですねやらせていただくことが多いんですけども
[50:42] 補助金採択されましたじゃあ今から開発できますよってタイミングでまず着手金払っていただきます
[50:49] で開発させていただきます終わったタイミングで残りのお金いただきます
[50:54] お金を払い終わったっていうことになるので補助金の実績報告っていうのができるようになる
[51:00] 実績報告っていうのは採択された補助金に対してこんな感じでお金使ってやりましたよっていう報告ですね
[51:06] それを行うことによって事務局から300万円使ったんだねじゃあ1分の2下ろすねっていうのを150万円戻ってくるみたいな
[51:13] キャッシュフローになるのでお金の動きとしては先に補助金に申請する金額満額
[51:20] 満額ここは分割で払えるんですけど先に基本的に出ていく
[51:24] 出ていったものに対して戻ってくるみたいなキャッシュフローになるのでそこはですねご注意いただく必要あるかなっていうところです
[51:33] はいありました
[51:35] 質問としてはこんな感じで回答大丈夫そうでしょうか
[51:38] はい
[51:42] ですねなので十分ご検討いただいて発注する会社さんとか決めていただければなというふうには思うんですけども
[51:56] 今温度感伺いましたらもし6月15日間に合わせたいというところでしたら弊社側もなるべくスピーディーに動けるように準備させていただければなと思いますので
[52:10] いうふうなところなんですけどそれで言うとなんかスピード感とかってどこまでお求めになられてたりしますか
[52:20] いや秋ごろリリースしたいんですけどちょっと6月15日だともうこれまでの時間がないのでちょっと時間がないのでちょっと時間を取りに行きたいなというふうに思いますので
[52:25] 今週終わっても来週1週間って言っても来週の月曜日だと思うのでちょっと間に合わないかなと
[52:31] そうですね
[52:32] 思っております
[52:33] やるかどうか決めていただいてそれを用意していきましょうみたいな流れになってくるかなとは
[52:41] そうですよね
[52:43] 頑張らないと間に合わないから
[52:44] そうですよね
[52:45] 御社にも頑張っていただかないといけなくなっちゃうことも含めて若干ちょっと間に合わないかその次
[52:51] お願いさせていただくにしてもその次かなと
[52:55] 承知いたしました
[52:58] 受験やる場合は次の募集で動いていければなというところであるので
[53:02] そんなに急いで決める必要は今回の場合はないかなと思うんですけれども
[53:07] 一旦こちらのご提案内容でご検討いただけたらなというふうに思っております
[53:12] はい
[53:13] そんな感じですかね
[53:15] 他に何か気になったこととかわからないこととか大丈夫でしょうか
[53:20] はいとりあえず大丈夫です
[53:22] はいそしたらこの後モックアップとご提案書の方送付いたしますので
[53:27] ご提案書の方送付いたしますので
[53:28] ご提案書の方送付いたしますので
[53:28] ご提案書の方送付いたしますので
[53:30] またちょっと補助金の方のタイミングが近くなってきたタイミングで
[53:33] こちら側からもどうされますかみたいなところとか聞かせていただこうと思うんですけれども
[53:40] 一旦お社側でご検討いただければなと思いますので
[53:43] 引き続きよろしくお願いいたします
[53:45] ありがとうございますよろしくお願いいたします
[53:47] 何かご提案書読んでいたりとか
[53:50] モックアップ触っていたりとかでこんなことやりたいでしたりとか
[53:55] 何か疑問点とか湧いてきましたら
[53:57] メールでご連絡いただいたりとか
[54:01] お茶合わせ設定させていただいて
[54:02] いろいろとご説明させていただくことも可能ですので
[54:05] そこはご気軽にご連絡いただければなと思います
[54:09] はい
[54:10] では本日の内容としては以上になるかなと思うんですけれども
[54:15] 何か追加でなければこのままミーティングルーム閉じてしまうと思いますが
[54:19] 大丈夫そうでしょうか
[54:20] はい大丈夫です
[54:22] ありがとうございます
[54:23] では本日はお時間いただきましてありがとうございました
[54:26] ありがとうございました
[54:28] 引き続きよろしくお願いいたします
[54:29] よろしくお願いいたします
[54:30] ありがとうございました
[54:31] 失礼いたします
[54:31] 失礼いたします
