[00:02] 完全に売れる感じで
[48:57] この期間中、2年間の間ずっと企画しているかって言うと、そうじゃないと思うので、
[49:01] そこをうまいこと、ここで必要みたいなところを切り分けてスポットで使っていけたら、そこまで予算は食わないかなって気はしているので、
[49:11] この辺どこで必要になりそうかみたいなところだったりとか
[49:15] あとは弊社の周りで若干相場から聞きつつ
[49:19] なんとなくこの辺でできそうですというのを出させていただこうと思います
[49:44] 企画自体の1週間くらいで修正できるんですけど
[49:47] 取引先に取り合わせてみたいとかっていうのはしたいなと思うので
[49:52] 2週間程度お時間いただけたら嬉しいかなと思うんですけど
[49:58] 2週間だとちょっと遅いです
[50:00] 大丈夫ですか?
[50:08] ないしは取引先とかじゃなくて、クラウドソーシングのサイトとかで単価感調べるぐらいの温度感で良ければ
[50:15] もう少し早く対応可能かなと思うんですけど
[50:28] はい、失礼いたしました
[50:31] そうですね、弊社経由で派遣する感じにはなると思うので
[50:35] そこは手数料はマネジメントがあれする分入ってきてしまうかなと思うので
[50:41] イメージとしてはそんな感じになるかなと思います
[50:51] はい
[50:54] 承知いたしました
[50:55] はい
[51:15] そうですね
[51:17] 12とかでも大丈夫ですね、9月だと。
[51:21] 14だと日曜日になっちゃいます。
[51:26] 12日の金曜日とかで、そしたらもう一度お茶を設定させていただいて、
[51:30] そこでこんな感じでしたみたいなと。
[51:32] ランニングコストの件もそうですし、
[51:35] お聞かせればなっていうのと。
[51:37] ランコストのところは、ある程度情報、こんな感じのイメージですっていただけると嬉しいかなと言っても、
[51:43] そのあれですかね、年に何回かしかない学活っていうふうなことは、全然毎日ではないって感じですよね。
[52:04] 全然いかないと思いますか?
[52:10] 毎日授業で、ほぼ毎回の授業ですからぐらいのイメージをする話をしたいですので、
[52:17] 全然そういうことじゃないのがあれば、全然かからないと思っているのかなと思います。
[52:34] 設置いたしました。
[52:49] あ、今決めちゃえるなら、今決めちゃっても大丈夫ですけど、
[52:53] どっちほどの方がご都合良さそうですか?
[53:10] よろしくお願いいたします
[53:11] ではそちらでよろしくお願いいたします
[53:16] いいえ大丈夫です
[53:18] 他に何か気になっていることとかって
[53:21] 残っていますか
[53:48] はいはい
[53:57] そうですね
[53:57] えっとも5,600ファンの中での方向性でいいかなと思っていて
[54:02] システムが多少複雑化しても
[54:04] もうシステム開発自体が効率化されているので
[54:09] そんなに見積もりに響くことはないかなと思っていて
[54:13] どっちかというとやっぱり私が気になっているのは
[54:16] 現役ランナーとかシナリオライターとか
[54:20] ある程度こんなことしたいなっていうのはあると思うんですよ
[54:23] フォアパターンがレベルアップしてて
[54:26] パーティングとかこういうスキルを持っててとか
[54:28] みたいなのをなんとなくは分かっているけど
[54:31] システムに落とし込むには
[54:32] ちゃんと明確な仕組みとかルールを定義しないといけないので
[54:38] そこが割と大変なのかなっていうところですね
[54:46] なので、そこでうまいことスポットでシナリオライターだったりとか、芸能クランナーを使っていけたら、
[54:54] もちろんそこの実験費は借るんですけど、システム開発自体は特にそこまで大きくぶれないかなというふうに思っています。
[55:01] なので、予算機を見ちゃって、この予算内で一番いいものを作りましょうというようなおこしでがいいとは私は思っています。
[55:13] その方が私いいと思います
[55:36] はいありがとうございます
[55:38] でははいそういった方向を教えておければと思いますので
[55:40] いったんちょっと次回のお茶の時間だけ後ほどご連絡いただけたらと思いますので
[55:45] 引き続きよろしくお願いいたします
[55:51] あ今できそうですかじゃあ今調整しましょうか
[56:05] 足はほぼ終日可能なんですけど、
[56:08] 強いているのが午前と午後どっちの方が、
[56:10] どうじゃ、私はスーパーです。
[56:15] 午後で、少し、足としたら、じゃあ、
[56:17] 今日と同じ12時半か13時とかでいかがでしょうか。
[56:25] 13時って可能がいいですか。
[56:45] こちらはまたメールにて次のリクロールを貼っています
[56:50] はい、ぜひご覧いただきありがとうございました
[56:53] 引き続きよろしくお願いします
[56:56] ありがとうございます
[56:58] 失礼いたします
[57:12] 渡辺さんはページサイトにお知らないですか?
[57:14] 生産って何?生産?
[57:17] 渡辺さん、PM候補ミーティングです。
[57:18] 10分過ぎてますけど、
[57:20] 内容が入ってこないですか?
[57:23] マジかよ!
[57:26] チャットワークと
[57:28] セディの
[57:29] 大手度やな
[57:32] これ優先度高めなので
[57:34] マジでお願いいたします
[57:37] 俺は何があるんだ?
[57:39] 内容を見てもらったら
[57:43] 何を判断すればいいのか?
[57:45] 判断するというかは、
[57:49] ダックスマブプラスの方が
[57:51] シーンの感じがある
[57:54] ビームを送ってます
[57:55] これか?
[58:00] クロアの相談ですので、
[58:04] 最新デートウォッチさんから来ている内容に
[58:07] トメタさんが帰ってきて、最終的に整理すると
[58:11] その中にアプリの件だけじゃなくて
[58:14] レーベルサイトの件も含めて
[58:17] 現状をまるっと一回整理して
[58:19] 生産したいですっていうところで
[58:22] それOKでいいんですけど
[58:26] OKではいいんですけど
[58:29] そこの情報まるっと何も知らないので
[58:31] もし生産とか割とも
[58:34] まず何してるのか
[58:35] 多分レーベルサイトの方が60なんだよ
[58:41] 行きます?というタイプの話をどうですか?
[58:44] そうです。
[58:46] ちょっと難易くさいですけど、
[58:49] 事実ベースで資料にまとめないといけないといけないので、
[58:52] あ、そっかりさんのまとめたし、
[58:56] なんとなく知ってた話を、
[58:59] 教育の分別を使っているときに、
[59:02] 教育してもらいましたけど、
[59:05] そうして、普通の意見を伝えないといけないかなといけないので、
[59:12] 特別特殊だな、大企業、超大企業と観光庁はめっちゃ特殊で
[59:18] 決められないのよ、この会社に決めた
[59:21] そうなんですか?
[59:23] 向こうが横井さん、住職も決められなくて、なぜかというと、税金じゃん
[59:28] だから、ちゃんと募集しなきゃいけない
[59:32] こういうことやりたい、予算いくらですよ、募集したら
[59:37] 国の案件取りたい、入札ツンモ、打ち取ったらいくらできます。
[59:43] 絶対安いところに発注しなきゃいけないわけではないけど、
[59:46] ちゃんと説明できるところに、こういう理由で発注しました。
[59:51] 向こうが公開しなきゃいけないから、超突きした。
[59:57] そういう話なんですけど、何かなんていうんですか?
[60:00] うちのお金にならなそうやなって こんなにやらなみたいな感じでされてますけど
[60:05] それやったら大丈夫です
[60:06] これなんで 今何をしてるかっていうと
[60:10] 向こうも入札案件出すのに
[60:13] いくらぐらいで出したら 応募集まるか分からないし
[60:17] そもそもどういう条件で募集したらいいかも
[60:20] 素人が実際に条件的なことはできないかな
[60:23] こういうのを作りたいです いかがでやってくださいって言いたいけど
[60:26] こういうのを作りたいって うまく言えないってこと
[60:30] リサーチをするんだけど、その時点で何かになっちゃえば、今はそういう感じですよね。
[60:36] もうこれうちしかできねえだろみたいな内容で募集させられるの。
[60:41] そういうことか。
[60:42] こっちがあるのは、自社が有利なように、
[60:53] うちが儲けたいからって予算高めに設定してくるとライバルが同時にするから
[60:58] こっちをプライとか気分が良くする
[61:00] そのプランス感
[61:01] 気分良くならないですよ
[61:03] お互い良い感じですよね今だから
[61:07] だから多分向こうは気持ちとしたらうちにお願いしたい
[61:10] なんでかっていうと予算はともかく
[61:13] ここだったらめっちゃ良くやってくれそうみたいな印象を与えてるから
[61:16] よし結構おもろいですけど
[61:19] 気持ちはもう家に発注したいから、あとはちゃんと予算取れるように
[61:24] 向こうが入札募集しますってなったタイミングにめっちゃこう首突っ込んで介入しに行くっていう
[61:32] むしろうちが仕様書作ってあげるぐらいの感じでやると価値確認できる
[61:39] それが決まるまではラリーかこういう感じの
[61:42] じゃあちょっと仲良くしとくみたいな感じで
[61:44] 普通にいい人ですよね
[61:48] 結構難しくて、無効って予算も1年単位出てるから
[61:53] じゃあこういう関係性を1年間続けて受注できるのが600万とか700万ってなった時に
[62:00] そこの営業工数に対する利益ってどうなの?みたいなちょっと諸説あるけど
[62:06] でもなんか実績としても結構使えそうだし、これをやってもいいんじゃないかなって気がするけど
[62:12] あんまりちょっと深入りしすぎてめっちゃ工数作っていうのは
[62:15] リード段階でやめたいなっていう感じ
[62:19] 本来やったらもう要件定でしょ?
[62:22] 要件定義ですね
[62:24] 一般の中小企業とかだったら
[62:26] もう12人で動いてる段階みたいな感じ
[62:29] 検討に1年もかかるだったら全然追わなくていいかなって感じ
[62:33] 確か確か
[62:34] そういう意味やったんですよ
[62:36] 僕は他のところに受給される可能性があるっぽい感じに思ってたんで
[62:54] 大企業も結構同じような感じで、会社が大きすぎると上に承認を取るといけないんですけど、
[63:02] その時に、この会社が良さそうだったから、これにしまわずに入札とか、
[63:15] 手です。
[63:15] 手なんでしょう?
[63:16] 手案書とか
[63:17] 役員会とかで多分各社の提案書をみんなで呼んで、役員の中で決めると思っています。
[63:26] じゃあ、インペックスの入札ですか?
[63:27] インペックスもそうです。
[63:29] 入札もいろいろあって、指名競争入札っていうのと、公開なんちゃい入札っていうのがあって、
[63:34] 指名競争は、あなたとあなたとあなたみたいな、手案書出してくださいと言われた人しか参加できない。
[63:42] 公開は必要な補助金とかでございますけれども、そういうサイトに出てるから誰でも応募できるという。
[63:50] なるほど。
[63:53] じゃあこれって僕何にしたらいいですか?
[63:57] シミュレーションシート、ちょっと大小の時に俺が作ってたから、それをAIになりて、これの今回バージョンを作ってみたいな感じでいけるから。
[64:07] ランコスのシミュレーションシートが欲しいのと
[64:11] あと別紙で手足を作りなす必要はないから
[64:17] 別紙でちょっと
