# 営業定例MTG 2026-07-31 逐語（mlx-whisper large-v3-mlx・自前生成）
# 前半 00:00〜23:55 = ステータス確認（議事録の対象）／23:55〜 = インサイドセールス以降・naru手動対応済み

[00:00] 決めちゃっていいと思ったんだけど 契約締結する
[00:02] 契約締結したらもう始まりますね
[28:42] 鈴上チームのPM定例のチャンネルに招待しております
[28:45] 一応さカレンダーも念のためこの集計をしてます
[28:51] 昨日渡辺さん入ってきてくれなかったんで悲しかった
[28:54] え?呼んでた?
[28:56] でもアーカイブ送っといたんで動画見ててください
[28:59] 1時間ぐらいありますけど
[29:01] ブルーシフトはじゃあそれで大丈夫ですか?
[29:03] はい
[29:04] ボーダーのアニマリー
[29:07] ボーダーのアニマリーは?
[29:11] 誰だ?
[29:11] これなんかりんさん?
[29:12] 俺かな?
[29:13] プリス営業担当も外れちゃってるけど
[29:15] 生活としては進行中ですかね
[29:18] この3ついけちゃうんでやってるけど
[29:21] あー昨日発したやつか
[29:23] 脳筋の手って把握してるんじゃないか?
[29:25] いやだいぶ先になると思うな
[29:27] だいぶ先?
[29:28] AI駆動開発に要件提起してたのに
[29:30] なんかいきなりバブルの開発が始まって
[29:33] あーアップセルしたのはいいけど
[29:36] 俺は池ちゃんに行けってミスったんじゃないかな
[29:39] いやあれはいいんじゃないの?
[29:41] だって今の状況なんか知りにくいけど
[29:43] こう乗り切らせるでしょ
[29:44] でもAI駆動で乗り換えるって言ってたら
[29:46] 意味なくないですか?
[29:48] 今の一時進捗してるんじゃないかな?
[29:55] そして直したら売上立つの?
[29:58] バブルとか話すよ
[29:59] 気持ち悪い話
[30:01] これに3、40万かけて30万もかかると思ってなかったって
[30:05] 向こうに言われてるんですけど
[30:09] 10月?納品予定が
[30:11] でいいですよね?
[30:13] 納品はもっと早いんじゃない?
[30:15] リリースが10月のだけ
[30:16] 9月1日か
[30:19] 納品は9月1日じゃない?システム
[30:21] 保存金自体で金額変えた感じ?
[30:24] 変わりますね
[30:25] やりたいことはいっぱいありそう
[30:27] 50万超えるくらい作っちゃいそうだよ
[30:31] 全然超えてると思う
[30:41] 1LCはコストにOKですか?
[30:45] 1LCはレベシアなんですけど
[30:46] 保証用も月額で取ってるんです
[30:48] 保証用兼コンサルティングみたいな感じで取ってるんで
[30:53] 言うたらレベシアと月額みたいな
[30:57] シムターンズの反省を生かして
[31:00] 月4万くらいは取れるように
[31:01] いい働きしてるよね
[31:07] さっきもちょろっとだけコミュニケーション取って
[31:11] 1LINEくん
[31:13] 1LINEくん
[31:15] 1LINEくんは要件定義中
[31:17] 納品予定は決まってますか?
[31:19] フルさん同期してくれますか?
[31:21] 要件定義と開発の金額も分けてみたいみたいな感じ
[31:27] 僕はあんまり良くない
[31:29] 分けてみたいってことか
[31:30] それはそうするべきだと
[31:32] 分けてみたいんだけど
[31:33] このモーションって今ざっくりとした全体の金額が入ってないのか
[31:37] どうしようかなっていう
[31:40] 1LINEってもう要件定義走ってるんじゃない?
[31:42] もうあれだね
[31:44] それが大体何時点で
[31:46] 木曜日の終わり
[31:48] なんか追加で予算取ったんですよ
[31:50] 本当?
[31:52] 何だっけ
[31:58] 稼働条件超えちゃったん?
[31:59] そうそうそうそう
[32:02] あれか小野さんの血を人間に堅い気になるやつ
[32:05] そうです
[32:06] 小野さんがたぶんのんびりやって稼働条件超えちゃって
[32:09] のんびりやって稼働条件超えちゃって
[32:12] 何でやってるんだろう
[32:13] 動いてねえはずじゃん
[32:15] そっか
[32:17] のんびり時間をかけすぎちゃって
[32:19] だからダダダダやったっていう
[32:22] だから今
[32:23] 一応もう終わる
[32:25] もう最終本当に最終的に
[32:28] 作らなきゃみたいな話になったら
[32:29] つまり来週の木曜日まで作らなきゃ
[32:31] それネクストアクションどうなってたっけ
[32:33] いや僕が
[32:34] 僕と小野さんが持ってます
[32:37] 俺に見せてくれる
[32:38] ちょっと
[32:40] 昨日今日はちょっと打ち合わせ連絡で
[32:44] はいどうですか
[32:45] ざっくり要件定義走っていく
[32:48] 何時かな
[32:50] 何時かな
[32:51] 稼働条件は計測してる?
[32:53] 稼働条件30とかじゃなかった?
[32:55] それに10プラスして40じゃない?
[32:57] 40ですかね
[32:57] で1万いくらなんで
[33:01] 560くらいじゃないですか
[33:02] 60しかあった
[33:03] そんなに
[33:04] さあさあ
[33:08] 4000って毎月制限してる
[33:10] しようと思うんだけど
[33:11] 30時間が40時間になった
[33:15] 40
[33:16] なくて1万1000って感じ
[33:18] 契約書まではみんな出てない
[33:20] 1万円ですね
[33:22] 40なんですか?
[33:23] 40万
[33:24] 1ライフね
[33:27] いいですか?
[33:29] はい
[33:29] はいパーソナルトレーナージャパンなんかこれ3つありますけど
[33:32] どういうことですか?
[33:34] 補助金、POC、事業計画って3つあります
[33:37] 補助金はもう
[33:38] 落ちてない
[33:40] 結果は落ちてない
[33:42] あれですね8月上旬とかでしょ
[33:43] そうそう
[33:45] 来週か3週くらいで
[33:46] 俺たぶんあんまり自信ないなそれはまあいいや
[33:49] POCもうちょっとで終わるよね
[33:50] あと稼働条件だったら5時間とか6時間くらいしかない
[33:55] いやなんかこれ最終的に10時間くらい足しそうじゃない?
[33:58] 足しそうです
[33:59] 動画のやつとか無理だし
[34:01] あれってか普通に結構作ったら高そうっすよね
[34:04] なんかPOCのやつはちょっと伸びそうな気がしてます
[34:08] これは今要請定費用としては
[34:11] いやPOCだから
[34:13] あーそう
[34:14] 受け負いってやつやのか
[34:15] 受け負いっていうか時間と時間単価が決めて
[34:19] 55時間1万5000やった気がします
[34:21] 結構いい値段
[34:22] 結構遅いよね
[34:24] 結構忘れてるくらいゆっくり進むんですよね
[34:26] まあでも55時間にしたらめっちゃトラクション出してると思うけど
[34:29] あ本当?
[34:30] あそうなんだ
[34:31] で残り6時間くらい
[34:35] でPOC
[34:37] まあでもなんとか走り切れそうだけど
[34:39] なんかギリ足りなそうみたいな
[34:40] POC
[34:42] はいこれ事業計画はふるさん?
[34:45] 事業計画?
[34:47] パーソナルトレーナージャパン事業計画
[34:49] ものづくり補助金申請するために
[34:51] なんか追加で費用もらってやってたんですけども
[34:54] じゃあこれは進行中ではない?
[34:56] 請求済みかどうかちょっと怪しいんで
[34:58] ちょっとわかんなく確認してもらってもいいですか?
[35:01] 一緒出してないと
[35:02] シンプルにパーソナルトレーナージャパンの入金ベースで見てもらってたらいいんじゃないかな
[35:07] みそかがスティック長さんのコンサルティングを見てる
[35:09] あ55000円でなんか補助金コンサルティング費用とってる
[35:12] これかな
[35:15] これ補助金コンサルティング費用としてはないんですか?
[35:17] 55000円
[35:17] 55000円は着手金ですね多分
[35:21] それ
[35:22] 事業コンサル取れてないんですか?
[35:24] これいくら?
[35:26] クラウドサイン見たらありそうです
[35:28] POCとセットになってるのかご覧ください
[35:32] クラウドサイン見ます
[35:35] オーエムリサーチ
[35:38] これも古さんか
[35:39] これ取りたくです
[35:40] 取りたくる方50万欲しいです
[35:42] あれこれなんか俺なんか電話してると思うよ
[35:46] なんか取りたくるでください
[35:50] 取りたくる
[35:50] これもいいんだよ
[36:00] 手紙送りましょう
[36:01] これの方に先行の追いかけりだっていう方は取りたくてください
[36:06] 大丈夫ですかこれじゃあ
[36:08] 絶対払いたくないからですよ
[36:10] ただ丸いやつも使ったらあったっぽいんだよね
[36:15] 取りたてください
[36:16] 本当に無理なんだよ
[36:18] 契約は結んでありますよ
[36:21] じゃあ取りたてということで
[36:25] 上野園芸者
[36:27] 進行中だよね?
[36:56] 毎週手紙とかっておかしいって向こうも考えてるしそれはわかってくれてると思うんで
[37:01] 納品予定はちなみにいつ?
[37:03] 納品予定ほぼできてるみたいなことでしたんで
[37:06] 一応8月末にしよう
[37:07] なんか話したな8月になりそうですよね
[37:11] こっちの研修期間?
[37:13] 研修期間が多分8月から8月1日8月15ぐらいになりそうで
[37:19] ごめんなさいそれワンライトって今納品予定っていうの?
[37:22] ワンライト今予定してます
[37:23] あれスケジュール出してない?
[37:26] 出してないですけど向こうがいつまでにリリースしたいかがある
[37:29] 10月から11月に出してる
[37:32] までに出したいみたいな希望はある
[37:35] パーソナルトレーナーも入れてるんですか?
[37:37] パーソナルトレーナーはまだものづくり補助金採択結果で本開発するしないがあって
[37:42] POCに関しては納品経過の稼働上限がなくなった追及なんで
[37:46] あと5時間どうやって使うみたいな
[37:49] 全部8月末なんですか?
[37:50] さすがに1ヶ月5時間使わないってことはないと思うので
[37:53] 8月中に全部消えてってことになってます
[37:56] はい
[37:58] 上の円でが800円だったら
[38:01] これ考えないとですねYouTubeどうすればいいのか
[38:05] まあなんかいくらあったらこういうことできますよって提案になると思うけど
[38:09] 朝日からそう思ったってのって
[38:12] それはあるでしょな
[38:13] 小林さんからの
[38:16] いくらなんだ?
[38:18] 事業コンサルティング
[38:26] 月額5,000円、5万円ですね
[38:29] いつ始まっていつ完了したかもわかんないんで
[38:33] 提供しにくいな
[38:37] ごめんな、ジャパンの
[38:41] どうしようかな
[38:43] 大体それいくらぐらいの感じなの?
[38:46] 月額5万円です
[38:49] 1ヶ月か2ヶ月だと思いますけどね
[38:51] はい、それを教えてください
[38:54] ものづくりはどきの締め切りまで
[38:56] ものほどの締め切り
[38:58] 8月4日に締結して
[39:00] 4月4日に締結して
[39:02] ものほどの
[39:05] 締め切りはいつだったの?
[39:07] 1ライク11月上旬リリースです
[39:09] あにゃ
[39:10] あにゃはい、そりゃ
[39:17] 1ライク11月だって
[39:19] 11月が
[39:20] 11月上旬のリリースで
[39:24] フェーズワンは?
[39:26] 5月、あ、でも1ヶ月分?
[39:30] 1ライク、あ、ん?
[39:32] 1ライクが11月上旬
[39:34] 11月上旬ののうちに予定?
[39:36] はい、フェーズワン
[39:37] OK、リリースで
[39:38] はい、お願いします
[39:43] えー、パーソントレーナーがちょっと請求頑張れ
[39:47] 1ヶ月頑張れてます、5万
[39:49] 今月末で締めてほしい?
[39:54] ちょっと、いきなり送ったらびっくりしたと思うので
[39:58] これって、え、でも請求書なかったっすよ
[39:59] はい
[40:02] 一応
[40:02] 一応ないと絶対現金ない
[40:04] 一応ない
[40:07] いやでもなんか関係性悪くなって
[40:09] いやいや
[40:10] 分かんないじゃないですか
[40:15] いやいや
[40:16] SAPみたいな補助金の
[40:18] はいはい
[40:20] 補助金の補助金
[40:28] じゃあ朝日川総合宅券でいいですか
[40:30] 次
[40:32] これは小林さんにステータスを
[40:41] 新しいもの補助出てきたから
[40:43] 案内しようと思ってたんだけど
[40:45] 従業員出るのにダメなんだよね
[40:47] これ進行中になってますけど
[40:49] 進行中
[40:51] じゃあステータスとしては
[40:54] どうしたんですか
[40:55] なんかこの補助落ちて
[40:56] 落ちたけど契約内容的には
[40:59] 落ちても申請
[41:00] サポートしますようになってるんで
[41:02] 次のもの補助が来たらサポートするんですけど
[41:05] 次のもの補助は
[41:06] 申請できない内容になっちゃった
[41:08] あまあ
[41:09] そういうことか
[41:12] 一旦連絡しないといけないって感じですか
[41:14] 常任補助金もどういう話
[41:16] もの補助新しいの出たんですけど
[41:20] ちょっともの補助申請できなさそうで
[41:22] 連絡はしないといけない
[41:26] じゃあします
[41:27] 進行中でいいんですかね
[41:29] 進行中
[41:33] なんか難しいなステータス
[41:34] 進行中かな
[41:36] じゃあ進行中のままで
[41:38] それ
[41:39] 俺のパスクが
[41:40] システムウィッチご案内
[41:43] こだわりビジネスコンサルティング
[41:46] こだわりって要件定義
[41:51] こだわりも要件定義始まってます
[41:52] 要件定義の上限は何時間
[41:54] 上限何時間だっけ
[41:56] 60とか
[41:57] りんさん上限何時間でしたっけ
[42:00] ありません
[42:00] なんか結構いい値段で
[42:02] 要件定義これ組めてますよ
[42:04] まあ向こうコンサル会社なんで
[42:05] 結構分かってる
[42:06] コンサル高さ書いてるんで
[42:09] 上限いくらで単価でいくら
[42:12] そうそうこれは補助金の
[42:16] なんか補助金が怖いみたいな話で
[42:18] あれはしてないんですよね
[42:19] 特定商売やるってやつ
[42:21] 契約は締結してないんですけど
[42:23] 他別に信用できるところだと思うので
[42:27] テキストベースで送ってはいて
[42:29] うんうんうん
[42:31] えーどこだっけな
[42:33] Teamsなんですね
[42:38] 上限フルフルで稼働するとは限らないですからね
[42:41] まあまあ目安でいいよね
[42:42] それでなんかキャッシュフロー作っちゃうと
[42:44] 若干怖い気がしますけどね
[42:45] 目安で
[42:47] えーと
[42:48] えーとりーと
[42:51] 50時間かける1万3000円です
[42:54] あんまり単価は高くなかった
[42:56] 80万
[42:57] いや65万じゃないですか
[43:00] 50時間かけると1万3000でしょ
[43:02] あ60万くらいもあるからね
[43:05] はいいいですか
[43:07] はい
[43:08] はいキラル
[43:09] キラル懐かしい
[43:11] なんか落ちましたって連絡したら返事来なくなった
[43:13] じゃあ失注ですか
[43:15] 失注かな
[43:17] いいですか書いちゃって
[43:19] あてかりんさん稼働時間
[43:21] 数えといてね
[43:23] こだわり
[43:25] そうなんですね
[43:26] そうだよ
[43:27] Aware Japan株式会社
[43:29] なんだこれ
[43:30] あーこれ進行中で普通にあるだろうな
[43:33] 俺の稼働は俺がミーティングでいただいて
[43:35] それ以外は稼働してないっていう
[43:39] まあそれOKウェブは大事
[43:42] リベオ
[43:44] リベオに沿ってるよね
[43:46] One Lifeはオノサメってたね
[43:48] おのさんリベオはどうですか
[43:50] どうですか
[43:51] オノさんの稼働時間だけですよ
[43:53] 僕のこと入ってないといけない
[43:56] いや入ってないとダメ
[43:58] 本当は
[43:58] そしたら僕そこも
[44:01] 本当は記録しとかないといけない
[44:05] 渡辺さんクリニック森はどうですか
[44:07] 他のカラーとしては記録してるんですか?
[44:12] いやもうそれを3畳はしてる
[44:14] それ見てオノさんに教えたらいいんですけど
[44:16] オノさんから聞かれてると思ってるから
[44:18] 変更してくれます
[44:21] リベオ株式会社リベオどうですか
[44:23] リベオはIT導入間に合いましたよね
[44:28] はいリベオ間に合いました
[44:30] 結果待ちでなんかIT導入の協業も
[44:32] 追いかけられてるから
[44:33] ちょっと俺がそれに連絡しなきゃいけない
[44:35] はい
[44:36] いくらぐらいの金額かもなのこれ
[44:38] IT導入です
[44:40] なるほどこれは
[44:41] 何もしないです
[44:42] 何もしない?
[44:44] 申請だけしてほしい
[44:46] 手数料取る?
[44:47] 手数料いかがだって
[44:49] 35万だっけ?
[44:50] 5万プラス何パーみたいな
[44:54] 金額いくらだったかは分かんないですけど
[44:56] 20とかじゃないですか
[44:59] 20着手入れて30いかないかいかないか
[45:02] AI導入
[45:03] まあいいやじゃあこの補助金で
[45:05] チェット
[45:06] スタッフミールですね次
[45:08] スタッフミール進行中で
[45:09] ここには鑑定者がいないか?
[45:12] 補助金ぐらいか
[45:13] 進行中これいつ
[45:14] これいけちゃう?
[45:16] マンズいかんね
[45:18] スタッフミールの納品
[45:20] 納期が失敗です
[45:24] あれごめん
[45:25] こだわりってさ
[45:27] 要件席を抱えて
[45:28] いつぐらいぐらいの開発費用を提案しそう?
[45:33] 額面だと500は買ったり
[45:36] 520とかは買ったりしてる
[45:38] IT導入がそれで提案してるんで
[45:40] そうかね?
[45:41] IT導入とんないと
[45:43] もしかしたら300ぐらいに減る可能性もあるよね
[45:46] 3段階で作ってる
[45:50] 300万ぐらいか500万ぐらいか
[45:52] 800万ぐらいかで
[45:53] アウトです
[45:56] で2秒が終わってスタッフミールが終わって
[45:58] イースマイネですね
[46:01] いけちゃう?
[46:02] いけちゃう
[46:07] 営業担当はフルさんのままでいいんですか?
[46:10] スタッフミールとイースマイネですね
[46:11] あれやったらいけちゃんに買ってきますか?
[46:14] 両方買えますね
[46:19] てんてんソリューションズ
[46:21] いけちゃん
[46:22] 今後いけちゃう?
[46:23] 新申請して落ちて再申請しましょうって
[46:26] なんかに返事が返ってこないけど
[46:27] なんかいけちゃんって飯にはいってるらしい
[46:30] 飯に?
[46:32] 株式会社レテンパー
[46:34] レテンパーを再申請して結果持ちかな?
[46:40] はいじゃあ進行してみると?
[46:41] 進行中のままで
[46:43] あれもう一個上の園芸者が出てきました
[46:45] これなんか補助金かわしてる
[46:47] じゃあこっち名前に補助金って入れておきますか?
[46:51] かけとこって書いてますけど
[46:53] はい一緒一緒
[46:55] 補助金のシート作ってリレーションする
[46:59] 俺もそう思う
[47:01] なんのシート作ってるの?
[47:03] 補助金は補助金で別のテーブル作ってリレーション作る
[47:06] あーそれがいい
[47:07] 本当は
[47:08] 江川さんのリレーションはアンチじゃないですよ
[47:12] ねえけど
[47:13] ノーションってリレーションできるから便利かな
[47:15] これやりたく前もしてたんだけど
[47:18] これキラル株式会社ってさっき聞きましたっけ?
[47:20] なんか下にありますけど
[47:23] 分かれてる系です
[47:25] ガーツってしたんすか結局
[47:27] してないしてない
[47:27] 手が動いてない
[47:29] じゃあ
[47:30] はい
[47:35] 不採用でいいですか?
[47:36] 不採用
[47:37] 絶対
[47:38] はい
[47:40] 背伸び?
[47:41] 背伸びはこれあって?
[47:42] あれだなもう納品借金確認済みでいいんじゃない?
[47:46] 借金確認済み
[47:52] アコアスマ?
[47:54] アコアスマ
[47:55] ポッシュの入れ替えとか
[47:57] はい
[47:59] ジャパンパシフィックマネージメント
[48:01] これあれだなもう開催終わりだから売り上げ
[48:07] これはね一旦質問ちょうどいいけど
[48:09] はい
[48:09] これアコアスマはここまでってちゃんと区切らないとですねこれ
[48:12] そうそうそうそう
[48:14] でももう俺に分かったからもうあとは
[48:17] そうなんですか?
[48:18] 野田さんから奪った
[48:20] じゃあもう全部渡辺さんがなんでもかんないんで
[48:22] なんでもかんないんで
[48:23] いいですよ
[48:25] と思ったらJNINがめっちゃEPA叩き始めてたJNINじゃねえやん
[48:32] これ何かでやったのさ
[48:34] いやあれ暴走してるんですか
[48:35] 暴走した
[48:36] あぶなあ
[48:37] じゃあいいかGoogleに返せ
[48:40] Googleチャットのとこにもなんかめっちゃ謎の通帳くられてきた
[48:43] あ落札AI
[48:45] ん?違うな
[48:45] あ落札AI
[48:47] いやそれは
[48:49] 謎のBotが突然入ってきてなんか言ってるなんか言ってるよね
[48:54] 渡辺さんがなんかやってんのかなと思ってるんですけど
[48:56] あれ暴走してるんかもね
[48:59] いやあれはね暴走の結果じゃない
[49:04] あまの株式会社
[49:05] あまのねこれ新興としてはコンバージョン済みなんだが先行検討っていうかコンプテクト検討してるんでしょうね
[49:15] はい
[49:16] コネクトイノベーション
[49:20] 補助金申請して落ちて
[49:25] お祝い導入補助金の案内したら考えますって言って終わってます
[49:31] 検討中
[49:36] いいですかそれでじゃあ
[49:37] 検討中
[49:38] 検討中に変えますねじゃあ
[49:40] はい
[49:41] 宮殿ハイテック株式会社
[49:44] これいてちゃんだないてちゃんだけど多分終わってるから
[49:47] 一応担当は池田に変えますねじゃあ
[49:49] どうすんのがいいんすかねなんか毎回これ全部確認するんすか
[49:54] あー新興中はどうだろう
[49:57] 動きがあったやつだけでよくないですか
[49:59] 今新興中はどうだろう
[50:02] じゃあ次回アウェアジャパンから
[50:05] 音古セラピーから進めるにしますか
[50:09] ちょっとちょくちょく消していきましょう
[50:11] そうしよう
[50:13] 全部見るのは月1とかでもいいんじゃない
[50:15] そうしようかな
[50:18] そうするとあれかな
[50:19] じゃあ次は音古セラピーから見ていくって感じにします
[50:29] 終わります
[50:31] ありがとうございました
[51:26] ありがとうございました
